method,seed,epoch,interval,alpha,alpha_over_tau2,wiener_gain_mean,wiener_gain_median,wiener_gain_p10,wiener_gain_p90,wiener_gain_min,wiener_gain_max,cos_raw,cos_filtered,NSR_raw,NSR_filtered,layer,tau2,interval_steps,fitted_batches,first_batch_identity
Wiener-Residual-AOnly,42,1,3,0.19057727171282499,0.52834887504408,0.5137997249622464,0.5,0.5,0.5,0.5,0.9799955846919828,0.01898346481912349,0.00361053272787909,59.40766410731028,35.331215187724666,fc2,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,1,4,0.0941022487294322,0.2608853448706804,0.5248468324305197,0.5,0.5,0.5145072036341033,0.5,0.9538699742283547,0.14545293162723844,0.04368350579676869,264.4947208219553,160.57042833438842,conv1,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,1,4,0.17320956216472916,0.4801993254185816,0.5306071771527765,0.5,0.5,0.5,0.5,0.9706148005776496,-0.00215127964108307,0.015480223149852534,321.61248684845214,210.86283553320388,conv2,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,1,4,0.1870347080340795,0.5185276119017594,0.5143998818689692,0.5,0.5,0.5,0.5,0.9795188391067908,0.002695299976336524,0.0015049171749324383,601.4656144506359,392.9332306664082,fc1,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,1,4,0.19484052207912889,0.5401681413963769,0.5144998561906728,0.5,0.5,0.5,0.5,0.9768332528844157,0.04994112550050657,0.060877839695570125,52.39491696287684,35.137472074063346,fc2,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,1,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20581486537276542,0.20581486537276542,287.8680554416921,287.8680554416921,conv1,0.3607034683227539,1,0,True
Wiener-Residual-AOnly,42,1,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.01438654209971316,-0.01438654209971316,329.7879292113694,329.7879292113694,conv2,0.3607034683227539,1,0,True
Wiener-Residual-AOnly,42,1,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0010657471882002997,-0.0010657471882002997,696.4455805802287,696.4455805802287,fc1,0.3607034683227539,1,0,True
Wiener-Residual-AOnly,42,1,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0479290063814304,0.0479290063814304,78.39575215486511,78.39575215486511,fc2,0.3607034683227539,1,0,True
Wiener-Residual-AOnly,42,2,1,0.1235856428443742,0.34262393821450865,0.532371653791044,0.5,0.5,0.5863006036407286,0.5,0.9601245441737543,-0.007493318455392545,0.04358966338613459,166253.62662478,99714.81912080756,conv1,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,2,1,0.17731801195692232,0.4915894287943467,0.531079518696384,0.5,0.5,0.5402144937060658,0.5,0.974855105145786,-0.0008532193401523361,-0.004990596577410947,234044.2624810806,131936.64179348305,conv2,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,2,1,0.1858690839231243,0.5152960818131376,0.5142773435459546,0.5,0.5,0.5,0.5,0.9799061068035442,-0.00032659776755190753,-0.0015753600128500375,2186.860142161665,1225.5046666517458,fc1,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,2,1,0.17656291590569478,0.4894960304282631,0.5124934956180601,0.5,0.5,0.5,0.5,0.9598991984393146,0.022570369774114,0.036673623109215486,46.681027881594616,29.086045741458218,fc2,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,2,2,0.2041930876506789,0.5660968235214443,0.5458256499090559,0.5,0.5,0.7618212774461931,0.5,0.9659147836968075,-0.07186869956519087,-0.1002598555912817,237581.53600467855,186876.31319030366,conv1,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,2,2,0.16767647292965043,0.4648596081133747,0.5280505470086873,0.5,0.5,0.5,0.5,0.9766824339370569,-0.007351073983747082,-0.011680547016700587,221645.3466321479,174897.1710235892,conv2,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,2,2,0.18791137465544777,0.5209580476983563,0.5143576239904769,0.5,0.5,0.5,0.5,0.9799568974770105,0.00029680170760145374,-6.979529318113508e-05,2294.229037640923,1719.0120396424059,fc1,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,2,2,0.20533924976142623,0.5692743979320174,0.5134094017258494,0.5,0.5,0.5,0.5,0.9803096101347933,-0.004946201150427142,-0.004297067971099374,44.38009309690935,29.468214794554296,fc2,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,2,3,0.1340069090207085,0.3715154435410098,0.5311714822938296,0.5,0.5,0.5846538513186794,0.5,0.9706928739367497,0.10070372082495468,0.03987050942042695,216290.90602712418,116945.91459578933,conv1,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,2,3,0.17180133217586405,0.47629520440911843,0.5297664541077851,0.5,0.5,0.5,0.5,0.977833452935372,0.013624243169773832,0.014225744161917457,200276.42333562032,121224.85949188749,conv2,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,2,3,0.18889186408761663,0.5236763177408598,0.5145295251985882,0.5,0.5,0.5,0.5,0.9808586907026347,1.9919372632691817e-06,0.002435665843926134,2152.9336648293483,1201.4320918265378,fc1,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,2,3,0.18093849459215863,0.50162671136352,0.5143799697488484,0.5,0.5,0.5,0.5,0.975655102428147,0.03262001670623566,-0.006393969720583642,48.71629839593493,22.329890225430873,fc2,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,2,4,0.1385391718259574,0.38408050931740395,0.5424411129265095,0.5,0.5,0.7778038812975878,0.5,0.961077100115221,0.14895784660799447,0.057246404301079114,179095.61003946955,66163.88477730581,conv1,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,2,4,0.18086029245753085,0.5014099068648236,0.5317860663242147,0.5,0.5,0.5641224214843719,0.5,0.9717035495481161,-0.004206206877816901,-0.00033926736110520377,139774.63066300686,58159.92406362101,conv2,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,2,4,0.18613799068551065,0.5160415882637319,0.5143091932761512,0.5,0.5,0.5,0.5,0.978447676096817,-0.00016984404478184606,0.00037377483753478285,1431.147614984583,577.4354868516452,fc1,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,2,4,0.19416898702844987,0.5383064042364831,0.5147814412317567,0.5,0.5,0.5,0.5,0.9762054350656988,0.025995461464349688,0.01680184227631019,41.31807172360024,25.360533367970522,fc2,0.3607034683227539,2,1,True
Wiener-Residual-AOnly,42,2,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.02970417114892594,-0.02970417114892594,203753.42865287283,203753.42865287283,conv1,0.3607034683227539,1,0,True
Wiener-Residual-AOnly,42,2,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.002931256253285247,-0.002931256253285247,174377.47432956155,174377.47432956155,conv2,0.3607034683227539,1,0,True
Wiener-Residual-AOnly,42,2,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001171291294165101,0.001171291294165101,2105.869644499201,2105.869644499201,fc1,0.3607034683227539,1,0,True
Wiener-Residual-AOnly,42,2,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02555806651196976,0.02555806651196976,53.429884824173435,53.429884824173435,fc2,0.3607034683227539,1,0,True
