method,seed,epoch,interval,global_update_index,interval_steps,sensor_type,update_frequency,layer,NSR_G,cos_G,clean_G_norm,noisy_G_norm,NSR_A,cos_A,clean_A_norm,noisy_A_norm
CLW-Clean-Fast,42,1,3,3,1,clean,4,fc1,53707.788546153635,0.01415108340445034,3.0828791417563955e-07,0.016557520174261736,188931.0677280105,-0.0003836639521264203,3.795982784008266e-06,0.717179267924467
CLW-Clean-Fast,42,1,3,3,1,clean,4,fc2,1133.8863754439362,-0.13192062778286567,3.1561865028218446e-06,0.003578340237294018,4817.703358894909,-0.007283265733178805,4.318743224862421e-05,0.2080639231964442
CLW-Clean-Fast,42,1,4,4,2,clean,4,conv1,429.9664410753601,0.02623152783656489,7.489775692956446e-05,0.03220540006751109,330.25587014195486,0.08736677968549149,5.354734758198559e-05,0.017688924013129263
CLW-Clean-Fast,42,1,4,4,2,clean,4,conv2,4765.267955737906,-0.055778039169226405,4.0751773931483765e-06,0.019419089276247685,7880.472724417578,-0.007660373218793113,2.369510258208142e-05,0.18672843446415374
CLW-Clean-Fast,42,1,4,4,2,clean,4,fc1,26615.984264482246,-0.0007928911252460827,8.56592396677743e-07,0.02279907567172326,86401.0833554615,-0.0002766281961933074,1.1583014065498067e-05,1.0007850469104456
CLW-Clean-Fast,42,1,4,4,2,clean,4,fc2,702.3278155599621,-0.18406247547394206,9.444802930238546e-06,0.006631603555030507,2103.9433261184745,-0.016157958919239827,0.00014023228688804805,0.295038487023436
CLW-Clean-Fast,42,2,1,5,1,clean,4,conv1,417.0065493409572,0.26586782174069457,4.9248816207814945e-05,0.020550118134925133,342.1007941914713,-0.16375845978156575,2.855307962668397e-05,0.009763315120962237
CLW-Clean-Fast,42,2,1,5,1,clean,4,conv2,5402.397759587999,-0.06487436140387523,2.4503427875930967e-06,0.013237572593160689,11100.380335919483,0.006396451735541756,1.1713377140272597e-05,0.13002302677198188
CLW-Clean-Fast,42,2,1,5,1,clean,4,fc1,40672.72394906584,-0.013532309608597828,4.082236348420561e-07,0.016603602352098044,141746.71328660107,-0.0016050108333130822,5.03214219459429e-06,0.7132897505268821
CLW-Clean-Fast,42,2,1,5,1,clean,4,fc2,1605.8214480901913,0.06767787688992107,2.9660360848738048e-06,0.004763125796659704,5208.946054123878,0.007996703472085125,4.137857853545533e-05,0.21553911551709862
