method,seed,epoch,interval,global_update_index,interval_steps,feedback_type,update_after_step,applies_from_step,layer,E_G_norm,correction_G_norm,K_G_min_eigenvalue,K_G_max_eigenvalue,E_A_norm,correction_A_norm,K_A_min_eigenvalue,K_A_max_eigenvalue
Wiener-Residual-AG,42,5,4,20,47,wiener_filtered_grad,188,189,fc2,2.3161385835962521e-07,0.09507629540790324,0.9367665184482501,1.0470734075992016,4.939287353986909e-06,0.03760953796353469,0.9048374180359597,1.007437751551466
Wiener-Residual-AOnly,42,1,1,1,47,wiener_filtered_grad,47,48,conv1,1.0315209299248058e-06,0.0,1.0,1.0,5.491909221067548e-07,0.04902430657545522,0.9077811964009712,1.0560612905678908
Wiener-Residual-AOnly,42,1,1,1,47,wiener_filtered_grad,47,48,conv2,8.356171015222342e-07,0.0,1.0,1.0,3.932326963211469e-06,0.027574004532704345,0.9048374180359596,1.018757918964033
Wiener-Residual-AOnly,42,1,1,1,47,wiener_filtered_grad,47,48,fc1,1.2225557234904337e-06,0.0,1.0,1.0,1.8040770408240895e-05,0.0166647413051579,0.9048374180359596,1.006981926055637
Wiener-Residual-AOnly,42,1,1,1,47,wiener_filtered_grad,47,48,fc2,3.87156119054593e-06,0.0,1.0,1.0,5.02864333260419e-05,0.010445799110119083,0.9048374180359596,1.0026609770124222
Wiener-Residual-AOnly,42,1,2,2,47,wiener_filtered_grad,94,95,conv1,1.166012929352482e-06,0.0,1.0,1.0,8.374493505565046e-07,0.07018321579383932,0.9048374180359596,1.0433277372950431
Wiener-Residual-AOnly,42,1,2,2,47,wiener_filtered_grad,94,95,conv2,8.7925219671173e-07,0.0,1.0,1.0,4.018744666555889e-06,0.03720676521987353,0.9048374180359596,1.0170829379734028
Wiener-Residual-AOnly,42,1,2,2,47,wiener_filtered_grad,94,95,fc1,1.0904602745466046e-06,0.0,1.0,1.0,1.7757412613565686e-05,0.024702739809036235,0.9048374180359599,1.0075723107877397
Wiener-Residual-AOnly,42,1,2,2,47,wiener_filtered_grad,94,95,fc2,1.988028449925697e-06,0.0,1.0,1.0,5.149611493119103e-05,0.01512945726006011,0.9048374180359596,1.0016225922224276
Wiener-Residual-AOnly,42,1,3,3,47,wiener_filtered_grad,141,142,conv1,1.0018853002307546e-06,0.0,1.0,1.0,7.54347463196569e-07,0.07551040112519329,0.9048374180359594,1.034307296731776
Wiener-Residual-AOnly,42,1,3,3,47,wiener_filtered_grad,141,142,conv2,9.13704516242464e-07,0.0,1.0,1.0,4.10968667823573e-06,0.04613498172751426,0.9048374180359596,1.0187291416854527
