beta,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,preconditioner_build_seconds,private_train_seconds,geometry_seconds,state_metric_seconds,evaluation_seconds,algorithm_epoch_seconds,wall_epoch_seconds,seconds_per_batch,samples_per_second,build_peak_cuda_allocated_bytes,train_peak_cuda_allocated_bytes,total_peak_cuda_allocated_bytes,batches,samples,accountant_steps,builder_reverse_vectors,builder_vjp_calls,builder_forward_calls,builder_samples,synthetic_mean_max_probability,synthetic_mean_prediction_entropy,synthetic_normalized_entropy,synthetic_mean_kl_to_uniform,state_metric_forward_calls
0.75,7,1,0.9035,0.448277392077446,0.9255287325025624,0.7861127240333559,1.068115234375,0.8860677083333334,0.1327613127097767,24177.9296875,285024.9375,908245.75,0.16510664951056242,10.270427168346941,0.076862926594913,0.0036675604060292244,1.0381562411785126,10.435533817857504,11.554220546036959,0.04389071439464505,5832.668789534072,167334912,138213888,167334912,234,59904,234,2560,10,10,2560,0.11990239980822856,2.298428633688717,0.9981948726594402,0.00415645930532893,10
0.75,7,2,0.9288,0.5482110380403697,0.6151803348563675,0.8385078418579571,1.068115234375,0.3485576923076923,0.6815356740839461,0.0102506959810853,24129.388671875,129561.9921875,0.16474229097366333,10.354671066626906,0.07706875912845135,0.0036518415436148643,1.0489602200686932,10.51941335760057,11.649094178341329,0.044250731053961136,5785.215156961434,168142336,138213888,168142336,234,59904,468,2560,10,10,2560,0.38496865425505583,1.7483744390542686,0.7593093711819621,0.5542106539397773,10
0.75,7,3,0.9261,0.5986209473084658,0.6430580868170812,0.8909029596825585,1.068115234375,0.25567574786324787,0.7667627036571503,0.00013108315761201084,6715.93994140625,72817.8359375,0.1871100077405572,10.30804102588445,0.07901925966143608,0.0036833398044109344,1.0392474429681897,10.495151033625007,11.617101076059043,0.044051457375574574,5811.385485328928,168142336,138213888,168142336,234,59904,702,2560,10,10,2560,0.6250699556634809,1.0295885885589928,0.44714464264172804,1.272996504435053,10
0.75,7,4,0.9309,0.6318244610361755,0.6475849711360075,0.9432980775071597,1.068115234375,0.22878271901709402,0.7900734709368812,2.3517557565355673e-05,3545.333251953125,68356.1953125,0.18484234157949686,10.304660414345562,0.07646750099956989,0.003704073838889599,1.0333174597471952,10.48950275592506,11.602991790510714,0.04403701031771608,5813.292004907319,168142336,138213888,168142336,234,59904,936,2560,10,10,2560,0.6570319799711429,0.9613939620078696,0.41752809263512225,1.3411911309861764,10
0.75,7,5,0.9257,0.6552681346552447,0.6965415544616871,0.995693195331761,1.068115234375,0.2257946047008547,0.7925259333390456,1.6856029105838388e-05,4483.080078125,64217.59765625,0.16526205372065306,10.306468973867595,0.07680953945964575,0.003643670119345188,1.0359981758520007,10.471731027588248,11.58818241301924,0.04404473920456237,5812.271899511718,168142336,138213888,168142336,234,59904,1170,2560,10,10,2560,0.7032293498301578,0.8179951170644435,0.35525076556489227,1.4845899759296024,10
1.0,7,1,0.8519,0.5516190315246582,1.0742009291027346,0.7861127240333559,1.068115234375,0.9825888087606838,0.02546166878436584,976455.125,6175202.0,17726822.0,0.1650220500305295,10.244937991723418,0.07689771894365549,0.003682956099510193,1.0279236603528261,10.409960041753948,11.51846437714994,0.04378178628941632,5847.180339050824,167334912,138213888,167334912,234,59904,234,2560,10,10,2560,0.11990239980822856,2.298428633688717,0.9981948726594402,0.00415645930532893,10
1.0,7,2,0.9157,0.5957270509392023,0.6832768966754278,0.8385078418579571,1.068115234375,0.5403478899572649,0.4929517240096361,3.3917086124420166,1050985.125,4883617.5,0.16485473420470953,10.342986102215946,0.07691289391368628,0.003650123253464699,1.0490802302956581,10.507840836420655,11.637484083883464,0.044200795308615155,5791.750990283725,168142336,138213888,168142336,234,59904,468,2560,10,10,2560,0.2593554660764938,2.0792322730999984,0.9029991028024843,0.22335281989404754,10
1.0,7,3,0.9119,0.705651461584866,0.7382256396305866,0.8909029596825585,1.068115234375,0.38383079594017094,0.6455648806360033,0.023767447099089622,420119.3125,1629763.75,0.16456135176122189,10.322504444047809,0.07709400821477175,0.0036728298291563988,1.037261750549078,10.48706579580903,11.605094384402037,0.044113266854905166,5803.242839439223,168142336,138213888,168142336,234,59904,702,2560,10,10,2560,0.5387693844984892,1.3023848359803871,0.5656185475807538,1.0002002570136588,10
1.0,7,4,0.9101,0.8070010249949991,0.8017181954067997,0.9432980775071597,1.068115234375,0.3307291666666667,0.6929191361125718,0.002142400946468115,353902.96875,1490019.125,0.16424482315778732,10.31227535288781,0.07680175267159939,0.0036649033427238464,1.0371838510036469,10.476520176045597,11.594170683063567,0.04406955279011884,5808.99927029438,168142336,138213888,168142336,234,59904,936,2560,10,10,2560,0.5687722382355642,1.2293044210805726,0.5338801266545642,1.0732806719134733,10
1.0,7,5,0.9096,0.813973110902682,0.9009442286104219,0.995693195331761,1.068115234375,0.3312132745726496,0.6910016116423484,0.0016822738107293844,457157.4375,1411758.0,0.16410566587001085,10.312172470614314,0.0765890134498477,0.003659789450466633,1.0413970658555627,10.476278136484325,11.597924005240202,0.04406911312228339,5809.057225400674,168142336,138213888,168142336,234,59904,1170,2560,10,10,2560,0.6299221984325352,1.0380401030440993,0.4508150887463352,1.2645449899499466,10
