beta,seed,epoch,layer,A_zero_eigenvalue_count,A_dimension,A_effective_rank,A_floored_condition_number,A_log_eigenvalue_spread,A_spectral_floor_ratio,C_zero_eigenvalue_count,C_dimension,C_effective_rank,C_floored_condition_number,C_log_eigenvalue_spread,C_spectral_floor_ratio,floored_kappa_block
0.25,42,1,conv1,0,10,10,5.2788245178821525,0.5487715610702231,1e-07,0,16,16,4.524489939101946,0.4108126489156132,1e-07,23.88398842144248
0.25,42,1,conv2,0,145,145,157.67045260596691,0.8340507115946129,1e-07,0,32,32,780.4207474386135,1.4874587177710592,1e-07,123049.29247173318
0.25,42,1,fc1,46,1569,1485,10000000.0,2.672182623191835,1e-07,3,128,122,10000000.000000002,3.230914387702999,1e-07,100000000000000.02
0.25,42,1,fc2,3,129,123,10000000.000000002,3.1977854142515514,1e-07,0,10,9,10000000.0,4.824778845706906,1e-07,100000000000000.02
0.25,42,2,conv1,0,10,10,5.273624160923334,0.5486765994796506,1e-07,0,16,16,22.536411504610594,0.788745363409911,1e-07,118.84856421122502
0.25,42,2,conv2,0,145,145,130.99436795568846,0.8747843563800216,1e-07,0,32,32,31.52139888434506,0.5837975838653627,1.0000000000000001e-07,4129.125723933925
0.25,42,2,fc1,0,1569,1569,474554.7163882559,1.3474057335441034,1e-07,0,128,128,18665.807369480823,1.4321229164423577,1.0000000000000001e-07,8857946922.381788
0.25,42,2,fc2,0,129,129,27565.761036626627,1.0822763207638484,1e-07,0,10,10,5549678.575389625,4.594003442135398,1e-07,152981113439.2769
0.25,42,3,conv1,0,10,10,5.255963449073047,0.5474527062567471,1e-07,0,16,16,12.838153446334356,0.5751863537385499,1e-07,67.47686526752454
0.25,42,3,conv2,0,145,145,133.09329046414294,0.871705782307886,1.0000000000000001e-07,0,32,32,5.570446732806325,0.36996098858869525,1.0000000000000001e-07,741.3890850244283
0.25,42,3,fc1,0,1569,1569,20494.64940630996,1.1584800851796404,1e-07,0,128,127,10000000.0,1.752089743071521,1e-07,204946494063.0996
0.25,42,3,fc2,0,129,128,10000000.0,1.423109461612223,1e-07,1,10,9,10000000.0,4.764796878879504,1e-07,100000000000000.0
0.25,42,4,conv1,0,10,10,5.265048927102481,0.5481104076989926,1e-07,0,16,16,8.368675218742679,0.46839708181720485,1e-07,44.06148448171026
0.25,42,4,conv2,0,145,145,157.3370807105015,0.8877700212972761,1e-07,0,32,32,8.556331601254053,0.38980366008028017,1e-07,1346.2282357323236
0.25,42,4,fc1,0,1569,1569,20059.151928102136,1.1625186336172304,1e-07,0,128,127,10000000.000000002,1.7495901552874915,9.999999999999998e-08,200591519281.0214
0.25,42,4,fc2,1,129,128,10000000.0,1.43930264289126,1e-07,1,10,9,10000000.0,4.750849881090803,1e-07,100000000000000.0
0.25,42,5,conv1,0,10,10,5.272898261276713,0.5483839915319282,1e-07,0,16,16,5.605194791541117,0.37780484153595617,1e-07,29.555621870434443
0.25,42,5,conv2,0,145,145,164.86606405316343,0.8900684018869919,9.999999999999998e-08,0,32,32,49.272814790007715,0.6534690933681258,1e-07,8123.41503924907
0.25,42,5,fc1,0,1569,1569,810676.3103566758,1.3531298105426803,1.0000000000000001e-07,1,128,127,10000000.000000002,1.8358878712092839,1e-07,8106763103566.759
0.25,42,5,fc2,1,129,128,10000000.0,1.4973297464655255,1e-07,1,10,9,10000000.0,4.703559338241446,1e-07,100000000000000.0
0.5,42,1,conv1,0,10,10,1.0224338055311843,0.0069001195968526885,1e-07,0,16,16,4.522854441946665,0.4107081660205747,1e-07,4.624319278943149
0.5,42,1,conv2,0,145,145,2.00711170594961,0.16139240623001602,1e-07,0,32,32,776.3242799261213,1.4861719240605145,1e-07,1558.1695498526199
0.5,42,1,fc1,46,1569,1485,10000000.0,3.540197380505017,1e-07,3,128,122,10000000.0,3.379735257060236,1e-07,100000000000000.0
0.5,42,1,fc2,3,129,123,10000000.000000002,3.6227649361810492,1e-07,0,10,10,1329774.4102621707,4.229949274224835,1e-07,13297744102621.709
0.5,42,2,conv1,0,10,10,1.022408200410191,0.006895640152062639,1e-07,0,16,16,21.774859063683238,0.8052294212479195,1e-07,22.262794469485918
0.5,42,2,conv2,0,145,145,1.4530010015639268,0.1049753509747188,1e-07,0,32,32,31.646686436473818,0.6092533683227057,1e-07,45.98266708837599
0.5,42,2,fc1,0,1569,1569,481.42024627468186,0.6970752058712328,1e-07,0,128,128,13256.269936818935,1.6123987297666742,1e-07,6381836.737667033
0.5,42,2,fc2,0,129,129,52.67022100288134,0.36203705171227996,1e-07,0,10,10,628488.4221786358,4.004379979658306,1e-07,33102624.09390094
0.5,42,3,conv1,0,10,10,1.0223000924691095,0.006857763302186582,1e-07,0,16,16,10.747430080234347,0.5868429167625268,1e-07,10.987098764828861
0.5,42,3,conv2,0,145,145,1.402255574002804,0.09076908099103818,1e-07,0,32,32,5.916085409410222,0.37984821120482415,1e-07,8.295863741622144
0.5,42,3,fc1,0,1569,1569,13.344891208367407,0.3552531943765738,1e-07,0,128,128,452.82355595666615,1.2233196941570734,1e-07,6042.881090827781
0.5,42,3,fc2,0,129,129,7.869793565904166,0.18615467500091704,1e-07,0,10,10,324250.46140001615,3.805613742615814,1e-07,2551784.194867304
0.5,42,4,conv1,0,10,10,1.022349945036716,0.006878234836038818,1e-07,0,16,16,6.644730306686533,0.47922035989671535,1e-07,6.793239663824778
0.5,42,4,conv2,0,145,145,1.4550151640815456,0.09972748127079613,1e-07,0,32,32,5.887689829697069,0.31951746293072736,1e-07,8.566677983617929
0.5,42,4,fc1,0,1569,1569,9.902494013563409,0.290632038577529,1e-07,1,128,127,10000000.0,1.77389985487864,1e-07,99024940.1356341
0.5,42,4,fc2,1,129,128,10000000.0,1.416303670783422,1e-07,0,10,9,10000000.0,4.834403999470901,1e-07,100000000000000.0
0.5,42,5,conv1,0,10,10,1.0224030087814393,0.006889692938038573,1e-07,0,16,16,4.550472496773786,0.37271640251209487,1e-07,4.652416772078707
0.5,42,5,conv2,0,145,145,1.448733447129614,0.09695588395128207,1e-07,0,32,32,34.47110337463836,0.5931939770022934,1e-07,49.9394404183011
0.5,42,5,fc1,0,1569,1569,138.1809821459306,0.5902434898590445,1e-07,0,128,127,10000000.0,1.7684716340568494,1e-07,1381809821.4593062
0.5,42,5,fc2,1,129,128,10000000.0,1.4184345672870045,1e-07,1,10,9,10000000.0,4.83419362738884,1e-07,100000000000000.0
0.75,42,1,conv1,0,10,10,5.049714493754136,0.5362264298305534,1e-07,0,16,16,4.521219535985304,0.41060368428238714,1e-07,22.830867820309336
0.75,42,1,conv2,0,145,145,42.68552904809924,0.6049654331118369,1e-07,0,32,32,772.2493149763634,1.4848857564752083,1.0000000000000001e-07,32963.8705667983
0.75,42,1,fc1,46,1569,1485,10000000.0,3.5968915079543873,1e-07,3,128,122,10000000.0,3.4607329877698367,1e-07,100000000000000.0
