method,seed,epoch,test_accuracy,test_loss,train_loss,epsilon,noise_multiplier,clip_fraction,mean_clip_factor,transformed_norm_p50,transformed_norm_p90,transformed_norm_p99,preconditioner_build_seconds,private_train_seconds,total_epoch_seconds,seconds_per_batch,samples_per_second,build_peak_cuda_allocated_bytes,train_peak_cuda_allocated_bytes,total_peak_cuda_allocated_bytes,batches,samples,accountant_steps,synthetic_mean_max_probability,synthetic_mean_prediction_entropy,synthetic_normalized_entropy,synthetic_mean_kl_to_uniform,builder_reverse_vectors,builder_vjp_calls,builder_forward_calls,builder_samples,state_metric_forward_calls
DP-KFLR,7,1,0.9129,0.4704351256608963,0.7711266342900757,0.7861127240333559,1.068115234375,0.7375133547008547,0.2970435755573856,433.5164794921875,12188.853515625,44019.953125,0.20867177192121744,10.361664222553372,11.627125069499016,0.04428061633569817,5781.310676870994,167334912,138213888,167334912,234,59904,234,0.11990239980822856,2.298428633688717,0.9981948726594402,0.00415645930532893,23040,90,10,2560,10
DP-KFLR,7,2,0.9388,0.4614371711060405,0.5254387048701955,0.8385078418579571,1.068115234375,0.2516526442307692,0.7751330279896402,0.0008896315703168511,835.6580200195312,6713.54150390625,0.21940249670296907,10.345312834717333,11.610696784220636,0.044210738609903134,5790.448385376136,168142336,138213888,168142336,234,59904,468,0.5172984957345587,1.350331683837073,0.5864415990295672,0.952253409156973,23040,90,10,2560,10
DP-KFLR,7,3,0.9425,0.44557321473285555,0.48552413055529964,0.8909029596825585,1.068115234375,0.1877003205128205,0.8318499178967924,3.0966668418841437e-05,171.7279510498047,5932.5126953125,0.20779395289719105,10.340425211004913,11.603462290018797,0.04418985132908083,5793.185364973821,168142336,138213888,168142336,234,59904,702,0.6705110767230784,0.9024298290484374,0.3919202950606312,1.4001552639456085,23040,90,10,2560,10
DP-KFLR,7,4,0.9522,0.4151192205175757,0.448128727511463,0.9432980775071597,1.068115234375,0.16104099893162394,0.8555441455453889,7.18303681424004e-06,52.92601013183594,5934.22021484375,0.20845494512468576,10.298346244730055,11.556081450544298,0.04401002668688058,5816.856277351765,168142336,138213888,168142336,234,59904,936,0.7093144340443502,0.8072026805062175,0.3505636699213638,1.4953824124878285,23040,90,10,2560,10
DP-KFLR,7,5,0.9524,0.3743100321967155,0.41929856974344987,0.995693195331761,1.068115234375,0.14810363247863248,0.866888638999727,4.029663614346646e-06,29.13922882080078,6674.0546875,0.20776204857975245,10.320827721618116,11.589616519398987,0.04410610137443639,5804.185634697152,168142336,138213888,168142336,234,59904,1170,0.7693089672747808,0.638980569517677,0.2775057353849243,1.6636045234763688,23040,90,10,2560,10
DP-KFRA-block,7,1,0.913,0.4705608149588108,0.7711207669260155,0.7861127240333559,1.068115234375,0.7374465811965812,0.297051668977544,433.84710693359375,12175.994140625,44005.79296875,0.17029805295169353,10.368349159136415,11.586011371575296,0.04430918444075391,5777.583208336846,167334912,138000384,167334912,234,59904,234,0.11990239980822856,2.298428633688717,0.9981948726594402,0.00415645930532893,0,0,10,2560,10
DP-KFRA-block,7,2,0.9385,0.4659560780160129,0.5298805492810714,0.8385078418579571,1.068115234375,0.2508346688034188,0.7756940516141745,0.0008275764994323254,851.5525512695312,6834.16259765625,0.16992243099957705,10.334205670282245,11.553468910045922,0.04416327209522327,5796.6719369892235,168142336,138000384,168142336,234,59904,468,0.517360410315846,1.3501613054790846,0.5863676046488572,0.9524237875149613,0,0,10,2560,10
DP-KFRA-block,7,3,0.942,0.4489439401365817,0.489988693760501,0.8909029596825585,1.068115234375,0.18723290598290598,0.8321441539332398,2.7998610676149838e-05,177.0657958984375,6045.93603515625,0.16970838606357574,10.350511910393834,11.573521046899259,0.04423295688202493,5787.539835575211,168142336,138000384,168142336,234,59904,702,0.6743626413128953,0.8909545333607243,0.3869366374652492,1.4116305596333216,0,0,10,2560,10
DP-KFRA-block,7,4,0.9519,0.41684530933201314,0.45150939801819306,0.9432980775071597,1.068115234375,0.16087406517094016,0.8558050972274226,6.557158485520631e-06,53.1868896484375,6035.28515625,0.1695548938587308,10.359370247460902,11.58683178666979,0.044270813023337185,5782.590888155828,168142336,138000384,168142336,234,59904,936,0.7127070622072091,0.7955899057405789,0.34552030592106164,1.506995187253467,0,0,10,2560,10
DP-KFRA-block,7,5,0.9523,0.37570729972720146,0.4212052973671856,0.995693195331761,1.068115234375,0.14813701923076922,0.8669226021848173,3.7371339658420766e-06,29.597267150878906,6813.1025390625,0.17121993657201529,10.346144525334239,11.567167206667364,0.04421429284330872,5789.982911345883,168142336,138000384,168142336,234,59904,1170,0.7719352490777391,0.6300792072561093,0.27363992287330363,1.6725058857379365,0,0,10,2560,10
