p,seed,epoch,m_p,m_reference,scale_match,operator_gain_p10,operator_gain_p50,operator_gain_p90,operator_gain_p99,transformed_eig_p10,transformed_eig_p50,transformed_eig_p90,transformed_eig_p99,transformed_condition_proxy
1.0,7,5,29446651.66323439,154744.339394616,0.0724918905722256,1.3826510322218104,12.052898602759193,42.70202229560436,59.24899979075279,0.0935636028288495,0.7176963319968241,1.2830860681977807,1.313462029212238,13.71351710926369
0.0,123,1,6314.872766296995,96820.3267271574,3.9156238901943543,3.9156238901943543,3.9156238901943543,3.9156238901943543,3.9156238901943543,0.0002898119844115,0.0157109410492299,0.1252218331241092,3.559932269192201,432.0795545372327
0.0,123,2,505593.3377329088,159357.80327510415,0.5614175646245545,0.5614175646245545,0.5614175646245545,0.5614175646245545,0.5614175646245545,0.000210790850174,0.0025014129595525,0.0490064085477435,5.700846123177524,232.48831012960184
0.0,123,3,598883.5443376768,165264.73106404368,0.5253139097333461,0.5253139097333461,0.5253139097333461,0.5253139097333461,0.5253139097333461,0.0002596417188161,0.0028472187382535,0.0630579425754688,6.407529193515263,242.86521774308
0.0,123,4,677861.3417681322,170717.7797629363,0.501844239652552,0.501844239652552,0.501844239652552,0.501844239652552,0.501844239652552,0.000325688551434,0.0032352170505607,0.073225457185602,7.251100477582825,224.8327638880386
0.0,123,5,721431.1073022865,175496.55948809208,0.4932156755657212,0.4932156755657212,0.4932156755657212,0.4932156755657212,0.4932156755657212,0.0003728728657451,0.0036518403365128,0.0875837977554924,7.215397820029527,234.88916947730712
0.125,123,1,4971.954919082456,96820.3267271574,4.412855238025573,7.933039703494489,9.581298543417132,10.440062862458213,10.464149259909728,0.0020602532574919,0.0940695366768638,0.5139928255256319,6.506457706203186,249.48040909851093
0.125,123,2,75031.52483128698,158293.57313671574,1.452478641875479,1.8896136141865327,2.639431225297495,3.2251547186113254,3.443789494652962,0.0072009024021588,0.0516223829690488,0.4315803814273389,11.904891073158506,59.93420787066224
0.125,123,3,90778.84008273552,165985.68893887533,1.3522064651314858,1.660720746369313,2.361856339707012,2.939430566788216,3.2007803758982543,0.008688410069192,0.0588123419916101,0.5300428932761689,13.005048982089043,61.0057408726176
0.125,123,4,102031.25306411929,171683.87482556273,1.297173724721269,1.5389727691860795,2.200314542665451,2.7553616348942205,3.075565658759624,0.010727484045968,0.0658028189145624,0.6010235465724858,13.948923392989208,56.02651507073398
0.125,123,5,108664.8249998822,176726.5601469122,1.2752825574080904,1.4706348333756718,2.117517250695788,2.679480068287541,3.024154447712664,0.0117241624268166,0.0731211049498022,0.689386805842584,14.207202810136328,58.80051646723607
0.25,123,1,8747.811218704848,96820.3267271574,3.3268526876481608,10.751609530729544,15.68349877254931,18.620890084724824,18.706910167598565,0.0065541327871115,0.2520496904725061,0.9441141115591112,5.321610838673169,144.04867008731867
0.25,123,2,33819.1983835208,153163.35845932498,2.128118395044424,3.966885795047829,7.338623245031918,10.678316602925523,11.963218426017727,0.0658513584631754,0.3269946075319635,1.287682343186462,9.886845245510775,19.55437781752889
0.25,123,3,41784.51946929571,163701.86854381373,1.9793341251602032,3.2386109150498563,6.205034466420678,9.477924970495367,11.101564306700352,0.0810326937077906,0.3601441365922841,1.4528994154916035,10.402777955908956,17.929792889902636
0.25,123,4,47264.23710409436,170041.17686331153,1.8967527608784505,2.860258329984344,5.588879946241586,8.658317927340226,10.659063044516062,0.0976873306324586,0.3831392228473804,1.5739142120578151,10.680103132281632,16.111753713278855
0.25,123,5,51424.70372952869,175532.1088979481,1.8475337734093948,2.608092701728621,5.186661328646291,8.229709551278917,10.389382837262126,0.1043004373091279,0.4062041079242633,1.7060643680916745,10.589359903733628,16.357212031961126
0.375,123,1,26275.422872431434,96820.3267271574,1.9195897170696488,11.152399339662036,19.648187323616053,25.419014769019068,25.5953545408209,0.0122132647224645,0.3955899409948116,1.015813320936461,2.54958084422342,83.17295530883071
