method,seed,epoch,privacy_valid,base_reset_error,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,layer,base_W_kron,base_W_G,base_W_A,base_log_kappa_kron,corrected_W_kron,corrected_W_G,corrected_W_A,corrected_log_kappa_kron,gain_A,gain_G,gain_kron
Residual-Clean,7,1,False,0.0,0.7782819500973082,0.5425341644801199,0.927,0.7861127240333559,0.5805288461538461,0.44931792919165814,conv1,1.1848456192759775,0.7964937990747889,0.6861398140202493,5.795147857364095,1.0072689795158938,0.679246334747948,0.6152705585771804,5.416258742777337,0.10328690158326448,0.14720449106199707,0.14987322978718134
Residual-Clean,7,1,False,0.0,0.7782819500973082,0.5425341644801199,0.927,0.7861127240333559,0.5805288461538461,0.44931792919165814,conv2,4.548281313160776,0.4792529049802162,4.078741978881934,13.383520063222363,3.8551404143899934,0.40075604866019116,3.559086647855565,12.792294276367832,0.12740578681292727,0.16379004801914648,0.15239622421003948
Residual-Clean,7,1,False,0.0,0.7782819500973082,0.5425341644801199,0.927,0.7861127240333559,0.5805288461538461,0.44931792919165814,fc1,101.76370359228525,3.7770190671255364,26.02751709138741,inf,79.70126075769349,3.6844099909006593,20.85442409996575,inf,0.19875476301707826,0.024519091531977955,0.21680070649732452
Residual-Clean,7,1,False,0.0,0.7782819500973082,0.5425341644801199,0.927,0.7861127240333559,0.5805288461538461,0.44931792919165814,fc2,10.05147965039779,0.5532373259453904,8.78188369300279,inf,8.801479274091268,0.5647003331140299,7.648147238747331,inf,0.12909946133297062,-0.020719873065417435,0.12435983753467111
Residual-Clean,7,2,False,0.0,0.5235566675153553,0.5028137061501097,0.9467,0.8385078418579571,0.228382077991453,0.7929981536844857,conv1,0.9449139134317199,0.5386754837002112,0.683476644143516,4.839371618247849,0.7348377932223327,0.46581187623481796,0.5151851864145395,4.075529627652317,0.24622854222014764,0.13526438397546234,0.22232302564625903
Residual-Clean,7,2,False,0.0,0.5235566675153553,0.5028137061501097,0.9467,0.8385078418579571,0.228382077991453,0.7929981536844857,conv2,4.15176139381016,0.3811129292842397,3.863182881816263,11.937989267355446,3.079881075385821,0.305729924454617,2.93075824974652,10.910927094879412,0.24136176323896075,0.1977970282225742,0.25817483635316807
Residual-Clean,7,2,False,0.0,0.5235566675153553,0.5028137061501097,0.9467,0.8385078418579571,0.228382077991453,0.7929981536844857,fc1,80.79254538395583,3.6434615406572393,21.362104309796077,inf,59.27023382723819,3.4218216612713066,16.598097541299158,inf,0.2230120544029118,0.06083222696676286,0.26638981918982396
Residual-Clean,7,2,False,0.0,0.5235566675153553,0.5028137061501097,0.9467,0.8385078418579571,0.228382077991453,0.7929981536844857,fc2,8.316266083967342,0.540442778136372,7.30070740809355,inf,7.137876417890059,0.4602662534792657,6.4705427496936245,inf,0.1137101669736287,0.1483534018783299,0.14169696522205588
Residual-Clean,7,3,False,0.0,0.5288486834774669,0.5006460311845905,0.9517,0.8909029596825585,0.17210870726495728,0.8426998061502081,conv1,0.8673480685366545,0.4447663596092021,0.6803712380929787,3.565938842682826,0.660571634482802,0.41376906702254684,0.47580546062026213,2.8864148311012388,0.30066787956248214,0.06969342873388915,0.23840075461598154
Residual-Clean,7,3,False,0.0,0.5288486834774669,0.5006460311845905,0.9517,0.8909029596825585,0.17210870726495728,0.8426998061502081,conv2,4.274291974790897,0.39417296882686864,3.9595751760722884,12.445829543486123,3.3794321988336424,0.32769643670230597,3.1962664943068297,11.45694851914391,0.19277539832508617,0.16864812501579973,0.20935859815730812
Residual-Clean,7,3,False,0.0,0.5288486834774669,0.5006460311845905,0.9517,0.8909029596825585,0.17210870726495728,0.8426998061502081,fc1,81.1726104782719,3.697823051503885,21.168286200854705,inf,60.0324726189549,3.4814689637721767,16.545405317314028,inf,0.218387111723481,0.05850850208847014,0.26043437231793537
Residual-Clean,7,3,False,0.0,0.5288486834774669,0.5006460311845905,0.9517,0.8909029596825585,0.17210870726495728,0.8426998061502081,fc2,7.473954618958198,0.5656810455417765,6.486595214838038,50.06267796632258,6.394026901673979,0.4942063547471453,5.71506610174478,49.07987051774839,0.11894207786056872,0.12635157454529317,0.14449214269309418
Residual-Clean,7,4,False,0.0,0.5907045007388816,0.5278627493829233,0.9528,0.9432980775071597,0.14983974358974358,0.8620333755627657,conv1,0.8855195370306425,0.459659744466944,0.6877013254164724,3.8645922762402933,0.6612298056830271,0.49629349053672484,0.39139065949559587,2.9678995916386306,0.43087115724465214,-0.07969752955474502,0.25328603375563247
Residual-Clean,7,4,False,0.0,0.5907045007388816,0.5278627493829233,0.9528,0.9432980775071597,0.14983974358974358,0.8620333755627657,conv2,4.495120072539241,0.3406450300499838,4.242784590351777,12.519677512796033,3.344095909225751,0.2908580332653142,3.1988604762764203,11.466649736260463,0.246046927871208,0.14615506580960316,0.2560608270166385
Residual-Clean,7,4,False,0.0,0.5907045007388816,0.5278627493829233,0.9528,0.9432980775071597,0.14983974358974358,0.8620333755627657,fc1,77.00544038106341,3.670009347318831,20.22128893810838,inf,55.11577825548146,3.407392722012198,15.491064824797064,inf,0.23392297730323658,0.0715574813177222,0.2842612420273216
Residual-Clean,7,4,False,0.0,0.5907045007388816,0.5278627493829233,0.9528,0.9432980775071597,0.14983974358974358,0.8620333755627657,fc2,7.925048742912231,0.5469630201607644,6.936371974496165,50.61510321218255,6.587279354626455,0.4814998656492897,5.919230357060019,49.213227820561826,0.14663885114235503,0.11968479055902831,0.1688026700759677
