task,method,source,beta,epoch,level,layer,group,noise_rms,noise_energy_share,snr,n
mnist,dp_kfm,pink,0.5,3,group,fc2,fc2,4.134722414529251,0.0924642653123015,0.076538706205281,1
mnist,dp_kfm,pink,0.5,3,layer,conv1,conv1,1.033321255417795,0.0007248870945732,0.1379796844306739,1
mnist,dp_kfm,pink,0.5,3,layer,conv2,conv2,0.7546870733188416,0.0112157043466288,0.1868229235904743,1
mnist,dp_kfm,pink,0.5,3,layer,fc1,fc1,1.0244815583000626,0.8955951432465014,0.0398874964724515,1
mnist,dp_kfm,pink,0.5,3,layer,fc2,fc2,4.134722414529251,0.0924642653123015,0.076538706205281,1
mnist,dp_kfm,pink,0.5,4,group,conv1,conv1,1.0828652496969966,0.0007963889354376,0.1688297660330369,1
mnist,dp_kfm,pink,0.5,4,group,conv2,conv2,0.8228387218437154,0.013316166280759,0.2105077201122067,1
mnist,dp_kfm,pink,0.5,4,group,fc1,fc1,1.0455101104037423,0.9290933790866582,0.0399514232920092,1
mnist,dp_kfm,pink,0.5,4,group,fc2,fc2,3.2163414299269406,0.0567940656971424,0.0847296388483468,1
mnist,dp_kfm,pink,0.5,4,layer,conv1,conv1,1.0828652496969966,0.0007963889354376,0.1688297660330369,1
mnist,dp_kfm,pink,0.5,4,layer,conv2,conv2,0.8228387218437154,0.013316166280759,0.2105077201122067,1
mnist,dp_kfm,pink,0.5,4,layer,fc1,fc1,1.0455101104037423,0.9290933790866582,0.0399514232920092,1
mnist,dp_kfm,pink,0.5,4,layer,fc2,fc2,3.2163414299269406,0.0567940656971424,0.0847296388483468,1
mnist,dp_kfm,pink,0.5,5,group,conv1,conv1,1.3106514197527592,0.001166440745447,0.1707625441610448,1
mnist,dp_kfm,pink,0.5,5,group,conv2,conv2,0.9864010357013908,0.0191287747771058,0.1758236011603996,1
mnist,dp_kfm,pink,0.5,5,group,fc1,fc1,1.0356639675709804,0.913789838985707,0.0294658824468234,1
mnist,dp_kfm,pink,0.5,5,group,fc2,fc2,3.4757703033337344,0.0659149454917412,0.0613945472989569,1
mnist,dp_kfm,pink,0.5,5,layer,conv1,conv1,1.3106514197527592,0.001166440745447,0.1707625441610448,1
mnist,dp_kfm,pink,0.5,5,layer,conv2,conv2,0.9864010357013908,0.0191287747771058,0.1758236011603996,1
mnist,dp_kfm,pink,0.5,5,layer,fc1,fc1,1.0356639675709804,0.913789838985707,0.0294658824468234,1
mnist,dp_kfm,pink,0.5,5,layer,fc2,fc2,3.4757703033337344,0.0659149454917412,0.0613945472989569,1
mnist,dp_kfm,pink,0.75,1,group,conv1,conv1,2.903141595966532,0.005657738274219,0.060272754230838,1
mnist,dp_kfm,pink,0.75,1,group,conv2,conv2,1.615861482022475,0.051381523949951,0.0497423564538812,1
mnist,dp_kfm,pink,0.75,1,group,fc1,fc1,1.0131146520673295,0.8738586052023737,0.0499339633091749,1
mnist,dp_kfm,pink,0.75,1,group,fc2,fc2,3.5514712364561136,0.0691021325734536,0.1827484648900913,1
mnist,dp_kfm,pink,0.75,1,layer,conv1,conv1,2.903141595966532,0.005657738274219,0.060272754230838,1
mnist,dp_kfm,pink,0.75,1,layer,conv2,conv2,1.615861482022475,0.051381523949951,0.0497423564538812,1
mnist,dp_kfm,pink,0.75,1,layer,fc1,fc1,1.0131146520673295,0.8738586052023737,0.0499339633091749,1
mnist,dp_kfm,pink,0.75,1,layer,fc2,fc2,3.5514712364561136,0.0691021325734536,0.1827484648900913,1
mnist,dp_kfm,pink,0.75,2,group,conv1,conv1,0.4143849736501629,0.0001172423360731,0.5726861886756721,1
mnist,dp_kfm,pink,0.75,2,group,conv2,conv2,0.2850540270458581,0.001607186833349,0.3166769629756351,1
mnist,dp_kfm,pink,0.75,2,group,fc1,fc1,0.8634341523000071,0.6444371730059142,0.0468672773481029,1
mnist,dp_kfm,pink,0.75,2,group,fc2,fc2,7.924866588842518,0.3538383978246603,0.0624349756445486,1
mnist,dp_kfm,pink,0.75,2,layer,conv1,conv1,0.4143849736501629,0.0001172423360731,0.5726861886756721,1
mnist,dp_kfm,pink,0.75,2,layer,conv2,conv2,0.2850540270458581,0.001607186833349,0.3166769629756351,1
mnist,dp_kfm,pink,0.75,2,layer,fc1,fc1,0.8634341523000071,0.6444371730059142,0.0468672773481029,1
mnist,dp_kfm,pink,0.75,2,layer,fc2,fc2,7.924866588842518,0.3538383978246603,0.0624349756445486,1
mnist,dp_kfm,pink,0.75,3,group,conv1,conv1,0.9382833943669512,0.0005952914696317,0.2699680223718479,1
mnist,dp_kfm,pink,0.75,3,group,conv2,conv2,0.5872193113985313,0.0068202717773115,0.2668533452630985,1
mnist,dp_kfm,pink,0.75,3,group,fc1,fc1,1.0088036652706067,0.8655720605650834,0.0407865422880413,1
mnist,dp_kfm,pink,0.75,3,group,fc2,fc2,4.713553505437275,0.1270123761879775,0.0798528172957038,1
mnist,dp_kfm,pink,0.75,3,layer,conv1,conv1,0.9382833943669512,0.0005952914696317,0.2699680223718479,1
mnist,dp_kfm,pink,0.75,3,layer,conv2,conv2,0.5872193113985313,0.0068202717773115,0.2668533452630985,1
mnist,dp_kfm,pink,0.75,3,layer,fc1,fc1,1.0088036652706067,0.8655720605650834,0.0407865422880413,1
mnist,dp_kfm,pink,0.75,3,layer,fc2,fc2,4.713553505437275,0.1270123761879775,0.0798528172957038,1
mnist,dp_kfm,pink,0.75,4,group,conv1,conv1,1.0550770982986784,0.0007538801351453,0.211336339401592,1
mnist,dp_kfm,pink,0.75,4,group,conv2,conv2,0.7655565422715155,0.0117751475558809,0.21265262776721,1
mnist,dp_kfm,pink,0.75,4,group,fc1,fc1,1.0225812524745097,0.8896324093489407,0.0326075916898289,1
mnist,dp_kfm,pink,0.75,4,group,fc2,fc2,4.172083603562645,0.0978385629600317,0.0621369212073131,1
mnist,dp_kfm,pink,0.75,4,layer,conv1,conv1,1.0550770982986784,0.0007538801351453,0.211336339401592,1
mnist,dp_kfm,pink,0.75,4,layer,conv2,conv2,0.7655565422715155,0.0117751475558809,0.21265262776721,1
mnist,dp_kfm,pink,0.75,4,layer,fc1,fc1,1.0225812524745097,0.8896324093489407,0.032607591689829,1
mnist,dp_kfm,pink,0.75,4,layer,fc2,fc2,4.172083603562645,0.0978385629600317,0.0621369212073131,1
mnist,dp_kfm,pink,0.75,5,group,conv1,conv1,0.9158559459111644,0.0005632004165512,0.2975371091242149,1
mnist,dp_kfm,pink,0.75,5,group,conv2,conv2,0.6106633816402316,0.007281618701,0.3081397775097242,1
mnist,dp_kfm,pink,0.75,5,group,fc1,fc1,1.0243107754838874,0.896453847482215,0.035038502342741,1
mnist,dp_kfm,pink,0.75,5,group,fc2,fc2,4.091540225973515,0.0957013334002283,0.0815852412376529,1
mnist,dp_kfm,pink,0.75,5,layer,conv1,conv1,0.9158559459111644,0.0005632004165512,0.2975371091242149,1
mnist,dp_kfm,pink,0.75,5,layer,conv2,conv2,0.6106633816402316,0.007281618701,0.3081397775097243,1
mnist,dp_kfm,pink,0.75,5,layer,fc1,fc1,1.0243107754838874,0.896453847482215,0.035038502342741,1
mnist,dp_kfm,pink,0.75,5,layer,fc2,fc2,4.091540225973515,0.0957013334002283,0.0815852412376529,1
mnist,dp_kfm,pink,1.0,1,group,conv1,conv1,2.0877493287092035,0.0029275887524708,0.0547658117426484,1
mnist,dp_kfm,pink,1.0,1,group,conv2,conv2,1.3546515815554567,0.0361934010076251,0.048807233173081,1
mnist,dp_kfm,pink,1.0,1,group,fc1,fc1,1.0030627685565805,0.8658866880339251,0.0147711138355929,1
mnist,dp_kfm,pink,1.0,1,group,fc2,fc2,4.136490789287025,0.0949923222059775,0.0393398017557238,1
mnist,dp_kfm,pink,1.0,1,layer,conv1,conv1,2.0877493287092035,0.0029275887524708,0.0547658117426484,1
mnist,dp_kfm,pink,1.0,1,layer,conv2,conv2,1.3546515815554567,0.0361934010076251,0.0488072331730811,1
mnist,dp_kfm,pink,1.0,1,layer,fc1,fc1,1.0030627685565805,0.8658866880339251,0.0147711138355929,1
mnist,dp_kfm,pink,1.0,1,layer,fc2,fc2,4.136490789287025,0.0949923222059775,0.0393398017557238,1
mnist,dp_kfm,pink,1.0,2,group,conv1,conv1,0.2231681078888614,3.400169861457139e-05,0.8024101593862385,1
mnist,dp_kfm,pink,1.0,2,group,conv2,conv2,0.1528776778036203,0.0004634040839318,0.357126991209663,1
mnist,dp_kfm,pink,1.0,2,group,fc1,fc1,0.7681923209189162,0.5186609225571884,0.0160248301727618,1
mnist,dp_kfm,pink,1.0,2,group,fc2,fc2,9.23748931738578,0.4808416716602681,0.0190821009548892,1
mnist,dp_kfm,pink,1.0,2,layer,conv1,conv1,0.2231681078888614,3.400169861457139e-05,0.8024101593862383,1
mnist,dp_kfm,pink,1.0,2,layer,conv2,conv2,0.1528776778036203,0.0004634040839318,0.3571269912096631,1
mnist,dp_kfm,pink,1.0,2,layer,fc1,fc1,0.7681923209189162,0.5186609225571884,0.0160248301727618,1
mnist,dp_kfm,pink,1.0,2,layer,fc2,fc2,9.23748931738578,0.4808416716602681,0.0190821009548892,1
mnist,dp_kfm,pink,1.0,3,group,conv1,conv1,0.821236106759827,0.0004567575184388,0.2064748028739395,1
mnist,dp_kfm,pink,1.0,3,group,conv2,conv2,0.5695180859153077,0.0067600448397353,0.1246412790694738,1
mnist,dp_kfm,pink,1.0,3,group,fc1,fc1,0.990905769020194,0.9471045471121882,0.0065146259969361,1
mnist,dp_kfm,pink,1.0,3,group,fc2,fc2,2.6595727037826364,0.0456786505296407,0.0062659760720292,1
mnist,dp_kfm,pink,1.0,3,layer,conv1,conv1,0.821236106759827,0.0004567575184388,0.2064748028739395,1
