level,layer,group,noise_rms,noise_energy_share,expected_noise_energy,signal_norm,snr,task,method,source,beta,seed,epoch,research_only,run_name,normalization
layer,blocks.8.mlp.fc2,mlp_fc2,0.7201032673710184,0.0267171110893166,76586.4086151123,3.299548732126038,0.0119228119645402,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.9.attn.q_proj,attention_qkv,0.7199713160902731,0.0067053347727413,19221.296310424805,0.5759442065610962,0.0041542160296529,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.9.attn.k_proj,attention_qkv,0.7204591922084603,0.0067053347727413,19221.296310424805,0.919420882549195,0.0066316718264937,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.9.attn.v_proj,attention_qkv,0.7198462809991738,0.0067053347727413,19221.296310424805,2.7984583415850186,0.0201849421671284,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.9.attn.out_proj,attention_out,0.7203536792230371,0.0067053347727413,19221.296310424805,2.7535593500688176,0.0198610911618626,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.9.mlp.fc1,mlp_fc1,0.7201297376807518,0.0268213390909653,76885.18524169922,3.2168678874780543,0.0116014398540698,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.9.mlp.fc2,mlp_fc2,0.7199964355760438,0.0267171110893166,76586.4086151123,2.926371438478362,0.0105743479584546,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.10.attn.q_proj,attention_qkv,0.7201088936028874,0.0067053347727413,19221.296310424805,0.5431804450141997,0.0039178949731003,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.10.attn.k_proj,attention_qkv,0.7202960007561249,0.0067053347727413,19221.296310424805,0.9225728480541012,0.0066544065731518,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.10.attn.v_proj,attention_qkv,0.7203369822360008,0.0067053347727413,19221.296310424805,2.7479194880751323,0.0198204115181883,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.10.attn.out_proj,attention_out,0.7201742469893971,0.0067053347727413,19221.296310424805,2.710084882429319,0.0195475150753403,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.10.mlp.fc1,mlp_fc1,0.7201845799416513,0.0268213390909653,76885.18524169922,2.841318159394585,0.0102470424293163,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.10.mlp.fc2,mlp_fc2,0.7201812394383774,0.0267171110893166,76586.4086151123,2.5301622293075443,0.0091426588751662,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
layer,blocks.11.attn.q_proj,attention_qkv,0.7201860446643459,0.0067053347727413,19221.296310424805,0.6858260285173783,0.004946780345672,vit,dp_kfm_a,pink,0.25,42,1,True,vit_dp_kfm_a_pink_beta0.25_seed42,layer
