task,method,source,beta,seed,epoch,layer,research_only,cosA,relative_error_A,cosG,relative_error_G,group,trace_S,trace_R,layer_dimension,trace_S_per_dim,d_total,tau_layer,operator_state_bytes,condition_S,log_eigenvalue_spread_S,effective_rank_S,A_condition_raw,A_eigenvalue_min,A_eigenvalue_max,G_condition_raw,G_eigenvalue_min,G_eigenvalue_max,run_name,normalization,tau
vit,dp_kfm,pink,0.25,42,2,blocks.11.attn.v_proj,True,0.3212180675010967,2.663248108122941,0.5572579761759376,15.975549213728105,attention_qkv,48312.32696148492,,,,5526346,,154292600,27.09747470671626,0.3104445388296996,35026.33574128576,137615.3988141476,0.001,137.6153988141476,3.917853976628217,0.0010000010507563,0.0039178580933381,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.11.attn.out_proj,True,0.4733930170017983,1.5042463543190303,0.6477501604319708,5.744126696214911,attention_out,12846.509270671211,,,,5526346,,154292600,21.23938327900612,0.2668476908289743,34218.13562661209,6245.013472527534,0.001026967923867,6.413428520403121,32.586238280359744,0.001,0.0325862382803597,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.11.mlp.fc1,True,0.4902998645150594,1.7009123195077145,0.0951945737050945,11.427956508626474,mlp_fc1,192651.37597155524,,,,5526346,,154292600,29.09897131932866,0.3145408680880187,139654.91138740728,192502.0686913869,0.0010001987984231,192.5403377990928,3.724561458743468,0.0010000000000312,0.0037245614588598,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,blocks.11.mlp.fc2,True,0.8638281565127349,0.5499227372158593,0.7404853943488432,5.352233927203369,mlp_fc2,68124.7950726565,,,,5526346,,154292600,31.16860887131422,0.3889964089610255,133033.15443198808,32203.000572626894,0.0010001285553944,32.207140442068614,29.30713310188529,0.001,0.0293071331018852,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,head,True,0.0424366368771883,3.4685327652843374,0.7206393983844992,5.609716038308776,patch_head,6436.425008804613,,,,5526346,,154292600,210.7758716929697,0.5951042777820439,1550.0335559413008,2752421.2758797,0.001,2752.4212758797,717.0817505533033,0.001,0.7170817505533034,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,2,identity,True,,,,,identity,408377.6343764365,,,,5526346,,154292600,,,,,,,,,,vit_dp_kfm_pink_beta0.25_seed42,global,8.576479216575027
vit,dp_kfm,pink,0.25,42,3,patch_embed,True,0.6221872413942543,0.8483407050135697,0.3781476189250452,0.9749860838880644,patch_head,121954.942535354,,,,5526346,,154292600,7.316409561026315,0.2625792827985409,140462.16785268564,1487.695495576867,0.0176361473773437,26.237217012603995,1.926096252892189,0.001,0.0019260962528921,vit_dp_kfm_pink_beta0.25_seed42,global,8.574772918031401
vit,dp_kfm,pink,0.25,42,3,blocks.0.attn.q_proj,True,0.3405780453422883,1.682357962496718,0.2174631065701366,0.9762783518273338,attention_qkv,38536.08458462175,,,,5526346,,154292600,10.591699110514886,0.6706683302878882,31638.883549874776,11024.610639060653,0.001,11.024610639060652,1.1415614094557,0.0010000000100661,0.0011415614209468,vit_dp_kfm_pink_beta0.25_seed42,global,8.574772918031401
vit,dp_kfm,pink,0.25,42,3,blocks.0.attn.k_proj,True,0.3405780453422883,1.682357962496718,0.3345099577778726,0.9607874319796268,attention_qkv,38565.36056022813,,,,5526346,,154292600,11.19760996313822,0.6706993535859221,31638.187331558707,11024.610639060653,0.001,11.024610639060652,1.4260609371672954,0.0010000000319863,0.0014260609827817,vit_dp_kfm_pink_beta0.25_seed42,global,8.574772918031401
vit,dp_kfm,pink,0.25,42,3,blocks.0.attn.v_proj,True,0.3405780453422883,1.682357962496718,0.2434237931884739,1.8601308336540137,attention_qkv,39042.02269213357,,,,5526346,,154292600,15.269718867010646,0.6715707099995522,31615.514928467263,11024.610639060653,0.001,11.024610639060652,4.931294104836345,0.0010000702730555,0.0049316406419407,vit_dp_kfm_pink_beta0.25_seed42,global,8.574772918031401
vit,dp_kfm,pink,0.25,42,3,blocks.0.attn.out_proj,True,0.1058895041552838,4.339943564577633,0.3832059230055243,0.9521466004764826,attention_out,26817.167534635573,,,,5526346,,154292600,13.274735145553626,0.5834395856088319,31008.50657009772,8347.40601761815,0.0010025665440002,8.368830002450709,3.720076933890301,0.001,0.0037200769338903,vit_dp_kfm_pink_beta0.25_seed42,global,8.574772918031401
