,,,,cosA,cosA,relative_frobenius_A,relative_frobenius_A,cosG,cosG,relative_frobenius_G,relative_frobenius_G,fisher_cosine_proxy,fisher_cosine_proxy
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
method,source,epoch,layer,,,,,,,,,,
full_public_fashion,fashion,3,conv1,0.9662577698058579,0.000229240212293306,0.968725999129712,0.004953390936580363,0.9767032236651726,0.0010284634166895957,11.86432681139867,0.5907915881569592,0.943747232534904,0.0012139450540341206
full_public_fashion,fashion,3,conv2,0.9449129220549813,0.016152748824895032,0.660793850134788,0.06423916976290382,0.9868291122515652,0.0016863067376705375,10.991415801454869,0.4468444670525285,0.9324773670275093,0.016841996168379614
full_public_fashion,fashion,3,fc1,0.7530051925538358,0.020713918616590353,0.6627319839732227,0.01870178069533758,0.8032373278560767,0.015400264037018557,12.000255459405402,0.9034372765968266,0.6046534934168636,0.008495460936792548
full_public_fashion,fashion,3,fc2,0.9075433174270531,0.018256671269239466,0.5721112446696875,0.0881740625410467,0.8324173227458204,0.033036250727964345,12.12532307201308,0.784578211944585,0.7551345327062083,0.020448009774378762
full_public_fashion,fashion,4,conv1,0.9661092360824363,0.00018621954961208894,0.9738669245110042,0.017300266991024316,0.9664488226717962,0.011640896296522327,12.552936875849587,2.290708084579128,0.9336960619339029,0.011362122243964545
full_public_fashion,fashion,4,conv2,0.9442920678535204,0.016325432218838722,0.6457419943638151,0.08592672384889004,0.9824574636586156,0.0039004313150273755,11.965978099015055,1.5952911427283936,0.9276947253318518,0.013504799939461245
full_public_fashion,fashion,4,fc1,0.7467321717142056,0.014415303764512303,0.6698527496174265,0.011826347529320784,0.7510480652564285,0.026950945855829737,13.225483778174825,1.7356511393300795,0.560813014184526,0.022353593406115844
full_public_fashion,fashion,4,fc2,0.8901935306909236,0.029153876378873227,0.579888745458142,0.05931604674076645,0.8046387141616386,0.04042909844923628,13.914462818838572,1.3221487676527992,0.715925107971156,0.033439317166107846
full_public_fashion,fashion,5,conv1,0.9663645342968904,3.011654158243682e-05,0.9613385216706304,0.009577855043869087,0.9641702974802051,0.017240394264560623,13.904925042246925,1.6344493651490335,0.9317398288392932,0.01664791514016108
full_public_fashion,fashion,5,conv2,0.9411598766345207,0.015460448206382248,0.6098860450834976,0.08623268317378138,0.982490478249704,0.007276646153093405,13.015257082427945,0.9745000302342913,0.9246569081821331,0.014604176282686582
full_public_fashion,fashion,5,fc1,0.7372589318085762,0.019734161154694726,0.6806218441105578,0.01351005795845363,0.7564956807287531,0.012102600154511244,13.965225409577718,1.8443731592543122,0.5575932128337745,0.00812426062597642
full_public_fashion,fashion,5,fc2,0.8835331452891445,0.022235237053723555,0.5854640384201569,0.07968211241298924,0.817813460382338,0.00767293924122187,14.987337704510765,2.3251367102961114,0.7226166229989994,0.022184182449466974
