method,seed,epoch,tau,preconditioner_batches,synthetic_samples,noise_multiplier,test_accuracy,test_loss,train_loss,epsilon_spent,clip_fraction,mean_clip_factor,precond_build_seconds,private_train_seconds,total_epoch_seconds,operator_dof,log_scale_rmse,log_scale_pearson,log_scale_spearman,correlation_defined,gain_geomean,log10_gain_range,gain_min,gain_p1,gain_p10,gain_median,gain_p90,gain_p99,gain_max
Module-Elementwise Equil,7,1,1.0,10,2560,1.068115234375,0.8849,0.5404416057109833,0.715935997581482,0.7863366347932901,0.56585,0.5107583044052124,0.3090124879963696,8.28292559995316,8.59193808794953,206921,0.0,0.9999999999999999,0.9999999999999999,True,0.9999999954176217,1.033492281379256,0.14951954782009125,0.36947873999670583,0.49726491868417166,1.1420199274938374,1.6150659322738647,1.6150659322738647,1.6150659322738647
Module-Elementwise Equil,7,2,1.0,10,2560,1.068115234375,0.86,0.6956197699546814,0.492108357556661,0.8389556633778256,0.26781666666666665,0.7748351174672444,0.3307118059601635,8.065469715045765,8.396181521005929,206921,0.0,1.0,1.0,True,1.0000000000026508,1.013649718837019,0.14599604904651642,0.40691311197770474,0.6165313482269569,1.065309286117527,1.4764182686805374,1.5057475066184967,1.5065752267837524
Module-Elementwise Equil,7,3,1.0,10,2560,1.068115234375,0.9169,0.48978571462631226,0.46905061531066894,0.891574691962361,0.22065,0.8133527402242025,0.32767477189190686,8.024933940032497,8.352608711924404,206921,0.0,0.9999999999999998,1.0,True,0.9999999999991072,0.932385771214606,0.17547793686389926,0.43019739568041065,0.623889237641513,1.061912894194764,1.4664210081084763,1.5003222107886482,1.5017868280410767
Module-Elementwise Equil,7,4,1.0,10,2560,1.068115234375,0.9203,0.46881969389878214,0.4483133743286133,0.9441937205468965,0.18691666666666668,0.8396432051340739,0.3314799868967384,8.151445165043697,8.482925151940435,206921,0.0,1.0,1.0,True,0.9999999997635503,1.107756619256103,0.1170782521367073,0.4247690535929889,0.6198159337042927,1.0610042214377526,1.4612571239456713,1.5001324617858545,1.5004891157150269
Module-Elementwise Equil,7,5,1.0,10,2560,1.068115234375,0.93,0.4204439070105553,0.4338236036618551,0.9968127491314319,0.17888333333333334,0.8467037256876627,0.3429634540807456,8.095798612106591,8.438762066187337,206921,0.0,1.0,1.0,True,0.9999999999768423,0.9936206185533981,0.1508229374885559,0.44787610162848573,0.6464708089814949,1.0509240031161897,1.4326128005981158,1.4837127053736299,1.486236810684204
Factorized Equil,7,1,1.0,10,2560,1.068115234375,0.8862,0.5413610805988311,0.7133088240305583,0.7863366347932901,0.5606833333333333,0.5159519196987152,0.2985223480500281,8.378414797829464,8.676937145879492,2034,0.18142180341347672,0.9236090481035972,0.942777259287272,True,0.999999999765868,1.1885780389378289,0.1700037121772766,0.4581425073649466,0.5687826573846968,1.0180464386916115,1.8250047921179586,2.6093015670776367,2.624438762664795
Factorized Equil,7,2,1.0,10,2560,1.068115234375,0.8626,0.6900090475082398,0.4979319606781006,0.8389556633778256,0.2690166666666667,0.7736921140034994,0.33602885506115854,8.218729257816449,8.554758112877607,2034,0.10308098182759674,0.9517452057962867,0.9645636398275756,True,1.000000002827554,1.1675970380956806,0.15331986546516418,0.48044836619831993,0.661230427022849,1.003595173357627,1.5085487723186006,1.9722023772158994,2.255254030227661
Factorized Equil,7,3,1.0,10,2560,1.068115234375,0.9159,0.493517660844326,0.47722218278249107,0.891574691962361,0.22111666666666666,0.8121527150472005,0.33407980599440634,8.289995942963287,8.624075748957694,2034,0.10058236162317902,0.9512414588886935,0.966829911668962,True,1.0000000015725232,1.0791944298746226,0.18652623891830442,0.5020587354421686,0.6705652177268925,1.0017666220660988,1.4954501271219807,1.9787649789728647,2.2383828163146973
Factorized Equil,7,4,1.0,10,2560,1.068115234375,0.9189,0.4766224975641817,0.4546999326705933,0.9441937205468965,0.18821666666666667,0.8385914451599121,0.33441573311574757,8.274423096096143,8.60883882921189,2034,0.10647691215684141,0.948407018414456,0.9656356275419414,True,0.99999999810743,1.2387125448300793,0.12853455543518064,0.49585678033236186,0.6653248548502154,1.0022363662675418,1.515564131735432,2.019367432369906,2.227062702178955
Factorized Equil,7,5,1.0,10,2560,1.068115234375,0.9293,0.42685902322456243,0.43972550293604534,0.9968127491314319,0.17901666666666666,0.8458493721008301,0.3398396398406476,8.164630654035136,8.504470293875784,2034,0.09313381685222652,0.9538938470135407,0.9697070988312422,True,1.0000000034904857,1.111714475772639,0.1650703400373459,0.5123028367455643,0.6861553251731571,1.0014025568937812,1.4649842977488445,1.9161781787751742,2.1349294185638428
Layer-Scalar Equil,7,1,1.0,10,2560,1.068115234375,0.8866,0.5177019963741303,0.7185017252604167,0.7863366347932901,0.5509833333333334,0.524195791387558,0.2880351070780307,8.155987833859399,8.44402294093743,3,0.4712758299896105,0.09173133039391759,0.05393989188923992,True,0.999999996642981,0.21008630478487136,0.9206926822662354,0.9939031600952148,0.9939031600952148,0.9939031600952148,0.9939031600952148,1.3149996995925903,1.493485450744629
Layer-Scalar Equil,7,2,1.0,10,2560,1.068115234375,0.8607,0.7555862085342407,0.510928432782491,0.8389556633778256,0.2853,0.7577293599446615,0.33602932607755065,8.343363368883729,8.67939269496128,3,0.34077345438005013,0.1936117355690166,0.15895008697806065,True,0.9999999737799913,0.4067892214151151,0.521750271320343,0.997386634349823,0.997386634349823,0.997386634349823,0.997386634349823,1.3312263488769531,1.3312263488769531
Layer-Scalar Equil,7,3,1.0,10,2560,1.068115234375,0.9114,0.5595063216686249,0.5058464180628459,0.891574691962361,0.23676666666666665,0.7973747510274252,0.33417636109516025,8.256476372014731,8.590652733109891,3,0.32976909693076656,0.19763795136410114,0.15799675179735975,True,0.9999999736675536,0.4052367057555814,0.5168399810791016,0.9977820515632629,0.9977820515632629,0.9977820515632629,0.9977820515632629,1.3139922618865967,1.3139922618865967
Layer-Scalar Equil,7,4,1.0,10,2560,1.068115234375,0.9155,0.5236825023368001,0.5020782682418823,0.9441937205468965,0.20221666666666666,0.8246525629679362,0.336410041898489,8.239208550890908,8.575618592789397,3,0.3314878318023072,0.1974764686068777,0.13746609899213133,True,1.000000001059368,0.4126287093793958,0.48641467094421387,0.9991478323936462,0.9991478323936462,0.9991478323936462,0.9991478323936462,1.2578688859939575,1.2578688859939575
Layer-Scalar Equil,7,5,1.0,10,2560,1.068115234375,0.9241,0.501803212928772,0.49133875986735026,0.9968127491314319,0.18941666666666668,0.8357557675679524,0.3413556730374694,8.174578756093979,8.515934429131448,3,0.31191608509060753,0.20504098840589846,0.1268530680679582,True,0.9999999882550641,0.41869958868451895,0.4793860912322998,1.0000180006027222,1.0000180006027222,1.0000180006027222,1.0000180006027222,1.2162120342254639,1.2571439743041992
