method,seed,epoch,interval,global_update_index,interval_steps,sensor_type,update_frequency,layer,NSR_G,cos_G,clean_G_norm,noisy_G_norm,NSR_A,cos_A,clean_A_norm,noisy_A_norm
CLW-Noisy-Fast,7,4,4,16,59,noisy,4,conv1,65.32952729465647,0.03171894609033966,8.008241326995596e-08,5.239799247749551e-06,18.924175282738076,0.0425501154554634,1.3675541859418076e-07,2.606624345281584e-06
CLW-Noisy-Fast,7,4,4,16,59,noisy,4,conv2,42.907944063418675,0.00896690589296413,6.10461120851337e-08,2.622664029491487e-06,29.175798875760105,0.03052676065644057,9.122554100897553e-07,2.662918156740805e-05
CLW-Noisy-Fast,7,4,4,16,59,noisy,4,fc1,71.77180063578814,0.0012613625508860666,4.587545418660319e-08,3.2927570896997116e-06,122.22888137042645,0.007136430070214381,1.1666537235227622e-06,0.00014260250534455353
CLW-Noisy-Fast,7,4,4,16,59,noisy,4,fc2,6.513528096246888,0.05740312902627299,1.587844458587508e-07,1.08584916737137e-06,6.4784055831488025,0.147814209681062,6.554294922398707e-06,4.293600589110504e-05
CLW-Noisy-Fast,7,5,1,17,58,noisy,4,conv1,54.81296526551413,0.02449307866455987,9.871737939251328e-08,5.417090330335965e-06,17.046011791185816,0.07754629994545843,1.5680434404286223e-07,2.70939484169711e-06
CLW-Noisy-Fast,7,5,1,17,58,noisy,4,conv2,40.929262676562445,-0.0025483682483199983,6.375648862748079e-08,2.6076285333612264e-06,29.520732909282533,0.015491578728024744,8.963363921835705e-07,2.645982603866173e-05
CLW-Noisy-Fast,7,5,1,17,58,noisy,4,fc1,75.53133893875437,0.0011820294913235535,4.430916440588556e-08,3.3469182923364067e-06,128.97335406363598,0.0063232686506697715,1.1010210385212935e-06,0.00014200524349381507
CLW-Noisy-Fast,7,5,1,17,58,noisy,4,fc2,5.819853587781926,0.015098313361043569,1.5179091420965722e-07,8.897425314190393e-07,7.159077051341982,0.14556934912357614,5.961479242684943e-06,4.3140449001039186e-05
CLW-Noisy-Fast,7,5,2,18,59,noisy,4,conv1,57.38412318024632,-0.010591379351071016,9.401643729304446e-08,5.391329491771794e-06,16.242774565854457,0.003510374867910103,1.6406396563275033e-07,2.6617105620154095e-06
CLW-Noisy-Fast,7,5,2,18,59,noisy,4,conv2,43.379034161490196,0.01451643023378885,6.338494579112077e-08,2.7550864747593375e-06,29.565754159600836,0.028655593550371023,8.979510065707879e-07,2.656026203805143e-05
CLW-Noisy-Fast,7,5,2,18,59,noisy,4,fc1,82.48842044510216,-0.00020897113220741257,4.051247291411848e-08,3.341575817978805e-06,134.6669627023655,0.007420605984792124,1.0598359440287468e-06,0.0001427290039711681
CLW-Noisy-Fast,7,5,2,18,59,noisy,4,fc2,8.632829753342921,-0.014232329257123612,1.4661373831168104e-07,1.2437226352445362e-06,6.998839021546201,0.13324294930239847,6.106528407752678e-06,4.312473964215333e-05
CLW-Noisy-Fast,7,5,3,19,58,noisy,4,conv1,43.363658102612426,0.035258665575291934,1.248865882145202e-07,5.425056043082343e-06,13.019744432283911,0.034616608961112294,1.9501115603127532e-07,2.5519054845194803e-06
CLW-Noisy-Fast,7,5,3,19,58,noisy,4,conv2,33.52022064838422,0.0049736811991521555,8.296554991480431e-08,2.7820205638777527e-06,24.961586250301377,0.04248375423731434,1.0598796376978886e-06,2.6481736295847744e-05
CLW-Noisy-Fast,7,5,3,19,58,noisy,4,fc1,62.53559054474505,0.0036305720313183003,5.257387528149669e-08,3.288675593019345e-06,121.76431482153673,0.010652555023651826,1.1671053195556546e-06,0.00014211961692994483
