method,seed,epoch,train_loss,test_loss,test_accuracy,epsilon_spent,clip_fraction,mean_clip_factor,layer,W_kron,W_G,W_A,log_kappa_kron
Synthetic DP-KFC (Pink Noise),7,4,0.6188723357060016,0.5589915208245627,0.951,0.9432980775071597,0.15613314636752137,0.8564989207646786,conv2,4.477521601789738,0.3400867659792935,4.226837885360649,12.481369071614175
Synthetic DP-KFC (Pink Noise),7,4,0.6188723357060016,0.5589915208245627,0.951,0.9432980775071597,0.15613314636752137,0.8564989207646786,fc1,77.26385033237148,3.6757023461120877,20.25997204624374,inf
Synthetic DP-KFC (Pink Noise),7,4,0.6188723357060016,0.5589915208245627,0.951,0.9432980775071597,0.15613314636752137,0.8564989207646786,fc2,8.128986364680115,0.5473781524534768,7.114442864322585,50.59064443483389
Synthetic DP-KFC (Pink Noise),7,5,0.6581743197181286,0.6183180339729414,0.9451,0.995693195331761,0.14855435363247863,0.8624680266421065,conv1,0.8758091377636322,0.45216792746318846,0.6834377246596549,3.404755830272169
Synthetic DP-KFC (Pink Noise),7,5,0.6581743197181286,0.6183180339729414,0.9451,0.995693195331761,0.14855435363247863,0.8624680266421065,conv2,5.34300924163104,0.3241192746652996,5.073337497618691,12.961644931177279
Synthetic DP-KFC (Pink Noise),7,5,0.6581743197181286,0.6183180339729414,0.9451,0.995693195331761,0.14855435363247863,0.8624680266421065,fc1,69.02787998433016,3.577355704335127,18.558409143543738,inf
Synthetic DP-KFC (Pink Noise),7,5,0.6581743197181286,0.6183180339729414,0.9451,0.995693195331761,0.14855435363247863,0.8624680266421065,fc2,8.32132908043151,0.5717820529906245,7.206763006106371,49.7170421897368
CLW-Kron,7,1,0.7949294703893173,0.5747081301212311,0.9007,0.7861127240333559,0.45067107371794873,0.6093508528593259,conv1,2.3748972388087783,0.7986936358454538,1.747577353117678,8.672323105454353
CLW-Kron,7,1,0.7949294703893173,0.5747081301212311,0.9007,0.7861127240333559,0.45067107371794873,0.6093508528593259,conv2,8.3395870583881,0.32667745892443933,7.921229083399386,13.671603144471899
CLW-Kron,7,1,0.7949294703893173,0.5747081301212311,0.9007,0.7861127240333559,0.45067107371794873,0.6093508528593259,fc1,120.3232956248555,3.598447135253326,32.20228229588506,inf
CLW-Kron,7,1,0.7949294703893173,0.5747081301212311,0.9007,0.7861127240333559,0.45067107371794873,0.6093508528593259,fc2,10.85238123775114,0.5369836126846923,9.549388725789214,inf
CLW-Kron,7,2,0.6221185434195731,0.6235204832434654,0.9098,0.8385078418579571,0.24497529380341881,0.7861160177450913,conv1,1.9144066210438584,0.5530451568767187,1.6038469743728807,7.481339070159686
CLW-Kron,7,2,0.6221185434195731,0.6235204832434654,0.9098,0.8385078418579571,0.24497529380341881,0.7861160177450913,conv2,8.16525046938879,0.3118707153651899,7.789275409911532,13.670917781240156
CLW-Kron,7,2,0.6221185434195731,0.6235204832434654,0.9098,0.8385078418579571,0.24497529380341881,0.7861160177450913,fc1,116.09573985840241,3.5777867869035545,31.236446939554956,inf
CLW-Kron,7,2,0.6221185434195731,0.6235204832434654,0.9098,0.8385078418579571,0.24497529380341881,0.7861160177450913,fc2,10.54217594501517,0.5447059096014787,9.245475491361935,inf
CLW-Kron,7,3,0.6744234410361347,0.6708899870157242,0.9164,0.8909029596825585,0.2014556623931624,0.8220993145408794,conv1,1.8842292809662586,0.5104987650790098,1.6154319692515537,6.902075451491172
CLW-Kron,7,3,0.6744234410361347,0.6708899870157242,0.9164,0.8909029596825585,0.2014556623931624,0.8220993145408794,conv2,8.093716445994767,0.3350628043444725,7.667803590305483,12.954393116045084
CLW-Kron,7,3,0.6744234410361347,0.6708899870157242,0.9164,0.8909029596825585,0.2014556623931624,0.8220993145408794,fc1,111.64981164103718,3.492718782754546,30.716624093963798,inf
CLW-Kron,7,3,0.6744234410361347,0.6708899870157242,0.9164,0.8909029596825585,0.2014556623931624,0.8220993145408794,fc2,10.169411171654094,0.5411635329955649,8.931092858058594,inf
CLW-Kron,7,4,0.7315832288601459,0.6237840127665201,0.9239,0.9432980775071597,0.17314369658119658,0.8447322544888554,conv1,1.8655419833651683,0.5523573646359223,1.559769166957332,6.8833840401664546
CLW-Kron,7,4,0.7315832288601459,0.6237840127665201,0.9239,0.9432980775071597,0.17314369658119658,0.8447322544888554,conv2,7.792506890592359,0.3051126686089374,7.447582637130195,12.696776788897616
CLW-Kron,7,4,0.7315832288601459,0.6237840127665201,0.9239,0.9432980775071597,0.17314369658119658,0.8447322544888554,fc1,109.89830246001951,3.5615007522479223,29.69283830226826,inf
CLW-Kron,7,4,0.7315832288601459,0.6237840127665201,0.9239,0.9432980775071597,0.17314369658119658,0.8447322544888554,fc2,9.68781960803791,0.5462724950937505,8.48844183483895,49.90144264433262
CLW-Kron,7,5,0.7559176622929736,0.7710288433313369,0.916,0.995693195331761,0.16279380341880342,0.8530509413307549,conv1,1.8511689394697664,0.5433049396431672,1.5549672149886782,6.830750601566982
CLW-Kron,7,5,0.7559176622929736,0.7710288433313369,0.916,0.995693195331761,0.16279380341880342,0.8530509413307549,conv2,7.628653029096189,0.3222145568565076,7.254551362549795,12.397465133976587
CLW-Kron,7,5,0.7559176622929736,0.7710288433313369,0.916,0.995693195331761,0.16279380341880342,0.8530509413307549,fc1,102.79036459130546,3.3929567078711003,29.043544734224735,inf
CLW-Kron,7,5,0.7559176622929736,0.7710288433313369,0.916,0.995693195331761,0.16279380341880342,0.8530509413307549,fc2,9.219509425840982,0.520927762717678,8.16353382459196,inf
