beta,seed,epoch,layer,probe_sample_count,d,effective_dimension,W,isotropy_score,whitened_dimension_fraction,top10_energy_share,directions_for_90pct
0.375,42,1,fc2,256,1290,383.7255546414625,0.2974616702646996,0.2974616702646996,0.2974616702646996,0.3951923503099035,0.48527131782945737
0.375,42,2,conv1,256,160,14.457847419574938,0.09036154637234337,0.09036154637234337,0.09036154637234337,0.5788681594943627,0.55625
0.375,42,2,conv2,256,4640,1436.1336356455483,0.30951155940636815,0.30951155940636815,0.30951155940636815,0.3353085217496592,0.7230603448275862
0.375,42,2,fc1,256,200832,71776.48427125352,0.3573956554296801,0.3573956554296801,0.3573956554296801,0.4016350587479365,0.6177700764818356
0.375,42,2,fc2,256,1290,777.8832519710816,0.6030102728457997,0.6030102728457997,0.6030102728457997,0.2774644745175205,0.7093023255813954
0.375,42,3,conv1,256,160,32.75148497665722,0.2046967811041076,0.2046967811041076,0.2046967811041076,0.5067008978533329,0.625
0.375,42,3,conv2,256,4640,1865.0182515136632,0.4019435886882895,0.4019435886882895,0.4019435886882895,0.3041655595380455,0.750646551724138
0.375,42,3,fc1,256,200832,80010.02083298772,0.3983927901578818,0.3983927901578818,0.3983927901578818,0.38091956798657883,0.6144937061822817
0.375,42,3,fc2,256,1290,788.0447555353646,0.6108874073917555,0.6108874073917555,0.6108874073917555,0.2712861882315311,0.6968992248062016
0.375,42,4,conv1,256,160,36.18147408839706,0.22613421305248163,0.22613421305248163,0.22613421305248163,0.5051102735760575,0.6375
0.375,42,4,conv2,256,4640,2261.3133757224396,0.4873520206298361,0.4873520206298361,0.4873520206298361,0.2935407386063725,0.75625
0.375,42,4,fc1,256,200832,86978.84546590484,0.433092562270479,0.433092562270479,0.433092562270479,0.36155720171530703,0.625717017208413
0.375,42,4,fc2,256,1290,808.2583742924049,0.6265568792964379,0.6265568792964379,0.6265568792964379,0.25784140412771117,0.6868217054263566
0.375,42,5,conv1,256,160,43.40786816783808,0.271299176048988,0.271299176048988,0.271299176048988,0.46768927490667117,0.69375
0.375,42,5,conv2,256,4640,2665.69607425849,0.574503464279847,0.574503464279847,0.574503464279847,0.2801165443675071,0.75625
0.375,42,5,fc1,256,200832,83598.51109938818,0.4162609101108796,0.4162609101108796,0.4162609101108796,0.3716955825518451,0.595184034416826
0.375,42,5,fc2,256,1290,806.9974292200949,0.6255794024961976,0.6255794024961976,0.6255794024961976,0.2530937660852059,0.6775193798449612
0.5,42,1,conv1,256,160,144.16300974451698,0.9010188109032312,0.9010188109032312,0.9010188109032312,0.15680409529070866,0.8125
0.5,42,1,conv2,256,4640,3494.808779658315,0.753191547340154,0.753191547340154,0.753191547340154,0.19058635715165126,0.6818965517241379
0.5,42,1,fc1,256,200832,82489.74157764975,0.41074002936608583,0.41074002936608583,0.41074002936608583,0.3858805036019075,0.4879152724665392
0.5,42,1,fc2,256,1290,693.3732672886599,0.5374986568129146,0.5374986568129146,0.5374986568129146,0.2860925382584058,0.5186046511627908
0.5,42,2,conv1,256,160,32.78723685495523,0.2049202303434702,0.2049202303434702,0.2049202303434702,0.46461668382855914,0.625
0.5,42,2,conv2,256,4640,3517.9501141504597,0.758178903911737,0.758178903911737,0.758178903911737,0.22019503205417015,0.7745689655172414
0.5,42,2,fc1,256,200832,115290.57769034788,0.5740647789712191,0.5740647789712191,0.5740647789712191,0.29288222095532007,0.624581739961759
0.5,42,2,fc2,256,1290,1059.3090857088193,0.8211698338828057,0.8211698338828057,0.8211698338828057,0.17074492524414453,0.7441860465116279
0.5,42,3,conv1,256,160,45.361472985640425,0.28350920616025266,0.28350920616025266,0.28350920616025266,0.46782466819196417,0.63125
0.5,42,3,conv2,256,4640,3994.051277927338,0.8607869133464091,0.8607869133464091,0.8607869133464091,0.17520384030892697,0.8004310344827587
