method,seed,epoch,layer,mean,median,p90,p99
M0_original,7,1,conv1,0.0005251719267107,0.0003201697545591,0.0009745604475028,0.0042156539857387
M0_original,7,1,conv2,0.025320203974843,0.0171569716185331,0.054834134876728,0.1102899387478828
M0_original,7,1,fc1,0.8764090538024902,0.9237643480300904,0.9407572746276855,0.9520963430404664
M0_original,7,1,fc2,0.0977455973625183,0.0540334358811378,0.1320121139287948,0.6686720848083496
M0_original,7,2,conv1,0.0350134223699569,0.0275166723877191,0.0727186873555183,0.1252220273017883
M0_original,7,2,conv2,0.2774920463562011,0.2578628063201904,0.4596757590770721,0.5747246742248535
M0_original,7,2,fc1,0.61491459608078,0.6345815062522888,0.7511239051818848,0.8049682378768921
M0_original,7,2,fc2,0.0725799798965454,0.017828956246376,0.1751633435487747,0.2912583947181701
M0_original,7,3,conv1,0.0456944294273853,0.0371833220124244,0.0910355970263481,0.1481524258852005
M0_original,7,3,conv2,0.2456255406141281,0.2363517135381698,0.369607537984848,0.479689359664917
M0_original,7,3,fc1,0.6149260401725769,0.6226885318756104,0.7394170761108398,0.8108367919921875
M0_original,7,3,fc2,0.0937539264559745,0.0900567173957824,0.1876119971275329,0.5430945754051208
M0_original,7,4,conv1,0.0469925552606582,0.0368610508739948,0.0928043499588966,0.160608172416687
M0_original,7,4,conv2,0.2336680293083191,0.2234939336776733,0.3420358598232269,0.4546008110046386
M0_original,7,4,fc1,0.6052019000053406,0.6192522048950195,0.7250198125839233,0.7890063524246216
M0_original,7,4,fc2,0.1139372363686561,0.087032213807106,0.2951425611972809,0.5118523240089417
M0_original,7,5,conv1,0.0496818237006664,0.0409365370869636,0.0923237204551696,0.1482050716876983
M0_original,7,5,conv2,0.2796474695205688,0.2685339450836181,0.393250435590744,0.495510846376419
M0_original,7,5,fc1,0.5777454972267151,0.5823366641998291,0.697314977645874,0.7666508555412292
M0_original,7,5,fc2,0.092140607535839,0.0746557116508483,0.216519296169281,0.372573047876358
M1_full_ghost,7,1,conv1,0.0005251396796666,0.0003201802028343,0.0009745255811139,0.0042161853052675
M1_full_ghost,7,1,conv2,0.025319205597043,0.0171548724174499,0.0548230074346065,0.1102898493409156
M1_full_ghost,7,1,fc1,0.8764145970344543,0.9237662553787231,0.9407582879066468,0.9521056413650512
M1_full_ghost,7,1,fc2,0.0977410674095153,0.0540320128202438,0.1322342157363891,0.6686567068099976
M1_full_ghost,7,2,conv1,0.0350059196352958,0.0275273974984884,0.0727399215102195,0.125202789902687
M1_full_ghost,7,2,conv2,0.2773959934711456,0.2578372955322265,0.4593365788459778,0.5745015740394592
M1_full_ghost,7,2,fc1,0.6149820685386658,0.634650707244873,0.7512117624282837,0.8049631714820862
M1_full_ghost,7,2,fc2,0.072599321603775,0.0178222395479679,0.1752050668001175,0.2915875017642975
