estimator,label_seed,layer,kron_relative_error,A_relative_error,A_cosine,C_relative_error,C_cosine,C_relative_error_vs_KFLR
KFAC-M-1,1,fc1,8.025983768586526,0.9422208535561508,0.35630867044672815,16.547524064051792,0.5841724340739207,0.07460144907236099
KFAC-M-1,1,fc2,3.9032524158150226,0.8965132647255907,0.5024429383818367,15.006730925681206,0.7847083430804689,0.06309045851230621
KFAC-U-1,1,conv1,9.621927881141037,0.78933135431504,0.8626952056098109,39.65232071432904,0.944036490476798,2.0227527618408203
KFAC-U-1,1,conv2,37.47225518578404,0.4672047421078044,0.8893219725469068,47.33511418362168,0.971482527552122,1.8725109100341797
KFAC-U-1,1,fc1,25.519020726862294,0.9422208535561508,0.35630867044672815,53.2605799911957,0.5007932126086944,2.193186044692993
KFAC-U-1,1,fc2,9.496988581903828,0.8965132647255907,0.5024429383818367,36.3259166248617,0.7902990660408259,1.395592212677002
KFAC-M-9,2,conv1,2.694445249461899,0.78933135431504,0.8626952056098109,12.467535300897616,0.9386061717532601,0.0036522289738059044
KFAC-M-9,2,conv2,12.4917761881369,0.4672047421078044,0.8893219725469068,15.848684804085059,0.9762190861942851,0.002225752454251051
KFAC-M-9,2,fc1,8.14379430361625,0.9422208535561508,0.35630867044672815,16.79536995783132,0.5853022401077537,0.029188238084316254
KFAC-M-9,2,fc2,3.941552009584931,0.8965132647255907,0.5024429383818367,15.152403804310097,0.7821600154661871,0.023804157972335815
KFAC-U-9,0,conv1,9.60055788220745,0.78933135431504,0.8626952056098109,39.56895935283056,0.9440563332471771,2.0165305137634277
KFAC-U-9,0,conv2,37.4290457083363,0.4672047421078044,0.8893219725469068,47.280669510608355,0.971569699275048,1.8691959381103516
KFAC-U-9,0,fc1,25.562334558190756,0.9422208535561508,0.35630867044672815,53.35186631952271,0.498626985346642,2.201258420944214
KFAC-U-9,0,fc2,9.4858337626273,0.8965132647255907,0.5024429383818367,36.27564808767677,0.7818317651378823,1.3947663307189941
KFAC-U-9,1,conv1,9.629117494123122,0.78933135431504,0.8626952056098109,39.68063752853524,0.9441332704196093,2.0249276161193848
KFAC-U-9,1,conv2,37.404786995429866,0.4672047421078044,0.8893219725469068,47.25007177867366,0.9713699649865328,1.8674558401107788
KFAC-U-9,1,fc1,25.555722926795216,0.9422208535561508,0.35630867044672815,53.33840637989727,0.4971204805521682,2.20363450050354
KFAC-U-9,1,fc2,9.476901684901037,0.8965132647255907,0.5024429383818367,36.24492569302185,0.7850790489617453,1.3935953378677368
KFRA-block,-1,conv1,2.7005289732694413,0.78933135431504,0.8626952056098109,12.5239378515445,0.9482767447993539,0.15982386469841003
KFRA-block,-1,conv2,11.256349881532042,0.4672047421078044,0.8893219725469068,14.290342466056439,0.974146005275289,0.09437369555234909
KFRA-block,-1,fc1,7.89860453195381,0.9422208535561508,0.35630867044672815,16.291026477309053,0.5401294464447924,0.2347041368484497
KFRA-block,-1,fc2,3.9644863016671157,0.8965132647255907,0.5024429383818367,15.235139921013419,0.7763167380564421,4.03709421448184e-08
KFAC-U-1,2,conv1,9.924056758949476,0.78933135431504,0.8626952056098109,40.83091535991894,0.9437938183474871,2.1104674339294434
