method,seed,epoch,layer,W_A,W_G,W_kron,log_kappa_kron
KFAC-Equil,7,5,conv2,5.835247387280864,0.36850555499276294,6.229750327973836,13.578453065275838
KFAC-Equil,7,5,fc1,24.715390233629996,3.1195291882337086,81.02500085120344,inf
KFAC-Equil,7,5,fc2,4.93082156103839,0.5887268718094986,5.752084016754298,inf
KFAC-Full-GM,7,1,conv1,0.6849639391067341,0.8800816032408202,1.2677208668150286,5.882346496461235
KFAC-Full-GM,7,1,conv2,4.388996602846064,0.3809491804916186,4.712106339839852,12.894023745532621
KFAC-Full-GM,7,1,fc1,27.095001165712755,3.654123321355492,102.71402025190035,inf
KFAC-Full-GM,7,1,fc2,9.214637445102305,0.5507366522663585,10.534079964632951,inf
KFAC-Full-GM,7,2,conv1,0.6866557725216326,0.4213808216571608,0.8560243281551045,4.307187234007377
KFAC-Full-GM,7,2,conv2,3.1865301181475525,0.23814076357562416,3.2842849273462384,10.91771480292384
KFAC-Full-GM,7,2,fc1,20.961927118151348,3.1021035670814787,68.39163011531396,inf
KFAC-Full-GM,7,2,fc2,6.594582668984782,0.5684260891076198,7.606781659685827,inf
KFAC-Full-GM,7,3,conv1,0.6838303818143566,0.26736950147508765,0.756663214791508,2.9656887980208997
KFAC-Full-GM,7,3,conv2,5.4054272248869735,0.3185233588222953,5.681948638220143,13.08635839121169
KFAC-Full-GM,7,3,fc1,22.66995645173038,2.958249592154277,70.85320294577767,inf
KFAC-Full-GM,7,3,fc2,6.955404230971522,0.5407621225318224,7.925707616444923,43.6229890464445
KFAC-Full-GM,7,4,conv1,0.6856875563431666,0.3203530921067349,0.7880640706289673,3.099579461770876
KFAC-Full-GM,7,4,conv2,4.732516379272749,0.41867500642741345,5.1476103011017935,13.580260865916538
KFAC-Full-GM,7,4,fc1,20.63780983608252,2.7560844067276875,60.570602897791346,inf
KFAC-Full-GM,7,4,fc2,7.212771940870951,0.6402108761024187,8.588192857095232,45.275977853787595
KFAC-Full-GM,7,5,conv1,0.6868782448987379,0.4501187991237477,0.8774958443992348,3.4545510731305082
KFAC-Full-GM,7,5,conv2,4.37438101381913,0.5862450933966609,5.104443614010205,12.615017273896685
KFAC-Full-GM,7,5,fc1,19.121883458121108,2.8781168643814437,58.333377137711196,inf
KFAC-Full-GM,7,5,fc2,5.517192305517707,0.6999807146353187,6.770810398890283,44.690888676911364
KFAC-Full-Raw,7,1,conv1,0.6849639293279146,1.259740206277514,1.6735223337090497,6.645989315223634
KFAC-Full-Raw,7,1,conv2,5.031228093846769,0.5090766471325814,5.668560146773273,13.971635544357843
KFAC-Full-Raw,7,1,fc1,27.548986832248286,3.7124761695502926,105.98535751055624,inf
KFAC-Full-Raw,7,1,fc2,9.188516935469666,0.5576209244707307,10.53528270348924,inf
KFAC-Full-Raw,7,2,conv1,0.6866557792713299,0.38305126097846776,0.8290996579460455,4.195630972299471
KFAC-Full-Raw,7,2,conv2,3.2866084717009585,0.24332894128293417,3.3912486535496247,11.290538569874997
KFAC-Full-Raw,7,2,fc1,19.961563442563232,3.1669070570451603,66.36873197860385,inf
KFAC-Full-Raw,7,2,fc2,8.261263524368173,0.6477066226729066,9.864069301518692,inf
KFAC-Full-Raw,7,3,conv1,0.6838303644403217,0.4014104873688175,0.839108320753991,3.4198104096637105
KFAC-Full-Raw,7,3,conv2,6.3824134545954125,0.2822789704263403,6.637825058419446,14.16194438154362
KFAC-Full-Raw,7,3,fc1,23.779342977816214,2.9361063687316196,73.81548618328824,inf
KFAC-Full-Raw,7,3,fc2,6.20558573706176,0.573330605619927,7.176093282959778,43.684177923244455
KFAC-Full-Raw,7,4,conv1,0.6856875460108973,0.24997564357611265,0.7496899164244065,2.8857146514352516
KFAC-Full-Raw,7,4,conv2,3.7736455823526973,0.3272681351439335,3.9840576647472163,11.787747933770232
KFAC-Full-Raw,7,4,fc1,20.23922537320629,2.9373518145355626,62.869103115336046,inf
KFAC-Full-Raw,7,4,fc2,7.0680305071510245,0.6831603400300816,8.587148720569488,inf
KFAC-Full-Raw,7,5,conv1,0.6868782632488661,0.445203036640834,0.8737970638920916,3.460922886036929
KFAC-Full-Raw,7,5,conv2,4.027255968999346,0.37984000884400376,4.3247070143281965,11.670416189200733
KFAC-Full-Raw,7,5,fc1,17.280540948425863,2.8475985186715214,52.2317660973471,inf
KFAC-Full-Raw,7,5,fc2,4.979837091260412,0.7530763958197528,6.2793220028889705,45.512407887188715
